Tasks: 400
Gap: 20
Threads: 8
Verificacion ns,Consulta ms
1223817,155
763606,81
2157347,104
896024,97
621820,94
720890,712
3998500,302
649203,161
825094,87
1116267,94
16596800,110
855365,84
420785,87
520203,87
4008894,111
367238,985
314019,760
342889,127
4013251,94
329307,222
3092058,142
2677428,112
890334,92
773031,1047
488235,135
438213,99
3998521,127
379632,1289
442294,986
537849,592
495800,137
344942,99
644757,190
1029934,214
602131,117
517490,78
3997860,1276
713540,1484
663374,897
944965,94
895439,88
577575,1827
655337,85
948819,101
522256,871
773676,701
680362,1657
901314,878
916436,1157
586937,2150
809289,206
840523,2543
589166,1587
601798,2208
847614,764
687681,1526
967133,401
630838,1083
576587,882
1518393,484
405676,1220
492033,86
3992217,190
569550,246
418159,492
302245,127
329957,80
359968,97
284784,82
370670,82
385947,588
499874,689
472466,754
581740,118
346975,319
460759,1034
503208,98
633583,548
639672,1077
494384,261
372599,1753
317675,92
4004212,161
8798441,1054
294179,1380
608050,128
813538,84
545010,1025
521459,1010
921066,1097
545532,354
538655,401
529328,1458
642853,134
6414943,179
907552,1697
868903,136
3980190,302
3985020,93
755559,106
2647474,1938
4009256,835
1133073,108
710684,1843
1030808,107
572623,1306
626192,590
630602,1986
835680,1810
592268,1256
525145,665
509295,90
568552,1750
608835,1275
1078735,122
890933,699
1035252,122
516892,1912
823352,1237
623470,1298
807156,430
909183,496
3568647,133
960927,126
548638,1503
590847,906
596007,97
940530,110
813807,84
2758735,832
562172,145
802357,1871
1086414,86
1193243,1106
870056,602
558725,606
3995793,86
801536,892
572516,96
668399,684
637870,458
511478,1294
72183247,886
669270,689
3992537,132
763597,245
1558288,89
491457,99
553835,1077
846549,654
535850,1149
648402,101
992211,97
671160,1269
980680,145
628333,680
586844,79
1467591,94
1448183,608
643234,611
665446,587
641055,1386
856200,1131
576189,147
779499,773
685827,83
608025,93
1285795,209
815270,90
882179,80
888191,134
558039,175
1000303,1913
994137,1002
959634,943
625944,87
1085574,94
1235920,596
1037157,1738
749118,657
871459,1006
1104504,101
568032,131
648782,339
606638,1124
4011550,129
561540,1046
728162,103
604852,1661
637602,1146
896802,98
625478,307
801189,1287
955629,2262
568156,1490
548276,177
553516,1509
6192390,146
939715,327
887317,150
1042595,445
634120,249
563917,622
802702,382
1074012,162
550454,174
2705527,1061
622578,1594
865780,1328
676345,118
657893,481
634037,92
820621,137
491433,562
484534,1404
647792,674
3997725,1248
587823,762
480692,934
747695,458
649551,1104
991501,970
838717,94
687835,1663
856048,115
775213,837
826416,88
1818601,81
783134,715
514408,1354
610057,86
976550,2189
821657,119
581354,1011
997412,2322
673144,594
617810,324
743370,98
942342,2994
517715,918
574308,2650
530394,111
576093,1846
1037573,2644
977298,90
1390926,164
798527,615
877075,2378
2364027,137
777663,1366
601646,1854
802984,91
860510,110
12015079,1720
654791,1590
963018,82
1828460,2830
1392601,866
966776,1823
1283514,98
12005766,2630
943605,1472
1237303,2606
469335,1554
679810,1178
680841,263
949814,2486
899555,1778
1036968,1889
1043939,94
865222,262
836803,79
652130,876
556912,1378
676819,128
671052,1996
1065743,674
3638041,117
634688,97
1001563,982
985185,2302
577222,3269
930931,106
583296,2349
1008166,2073
582841,1780
604592,1446
1526062,3245
691921,109
551239,1058
963436,108
642097,3234
676081,106
544723,110
677353,1791
4012116,1445
637219,2291
638691,1490
688070,1503
13093461,106
539803,99
579833,3046
1135227,1936
1722834,2046
3815128,224
583469,3095
799385,2138
865175,550
818150,3003
790739,3007
552771,1145
541651,2707
956683,153
628738,78
877135,137
542703,3333
731563,2070
1180768,831
1075680,88
721222,82
541926,2287
620164,2581
629264,2640
640004,2714
633096,3523
4905516,614
672169,90
578871,98
722315,495
551072,2062
710864,926
682448,3206
700907,2243
722768,93
613807,126
631385,81
719687,3214
4942632,1875
1042523,1245
580098,1650
684300,1126
530880,1447
650016,114
590032,1838
494885,386
1127602,124
645187,1503
538544,577
862194,1847
1002269,97
522754,2145
839342,838
831660,1039
663240,948
558145,674
557498,550
899417,269
692325,1659
722459,98
1065674,798
946936,650
1274664,1036
753161,118
647798,1793
693901,714
725000,1288
504266,529
544020,1468
583961,623
830925,2122
551621,323
1050538,792
596697,538
1272748,1410
1029333,83
910914,119
831302,149
945558,98
553766,84
855791,432
568283,346
635195,79
868508,219
553542,617
966298,1435
710867,112
1051366,786
1154875,81
1267166,87
587400,474
835454,98
518631,97
912673,241
1054660,237
912762,346
809684,93
490133,80
922362,81
593293,78
565285,78
Numero de fallos: 0
