Tasks: 400,
Gap: 20,
Threads: 8,
Verificacion ns,Consulta ms
45435,85
38164,99
44374,101
43319,129
49367,184
41449,93
52000,86
38004,509
31748,96
27297,389
31076,232
46758,261
45975,91
38098,97
45857,96
35821,83
49951,109
42636,354
47653,427
46344,274
39270,81
32914,95
33759,91
41032,173
44652,108
45329,119
44044,83
48367,95
76352,166
49010,304
50672,1219
63269,191
53554,87
49092,97
52647,288
38363,90
34732,938
34714,154
48106,868
39937,110
41994,109
43220,82
46066,100
42054,378
38044,1763
40239,244
52555,199
41001,2240
44057,2167
48393,217
36337,1839
29988,1341
34558,2469
38495,416
36825,2139
54932,2123
52677,226
62745,115
43071,927
53211,890
47165,101
36646,419
67702,95
49002,2059
61875,351
51677,366
51075,1019
50002,2078
39725,1939
53069,2081
49750,1267
51787,439
38113,1991
51626,1939
40724,101
37445,137
36081,1175
31176,2234
50978,2329
50498,1778
54432,1353
57401,120
57095,1870
58698,198
86269,2103
45515,91
50699,2385
48509,3079
79370,191
37741,1421
50428,1389
49396,83
46279,1757
48890,1225
35755,2810
79170,2313
51100,83
42704,1820
49082,1787
32999,2987
39083,1499
41438,2412
40338,133
38364,133
35395,1807
37958,151
51109,647
39134,2999
49971,2891
30065,294
38431,1243
36302,169
38466,2386
39366,191
46746,1539
40438,584
69147,1623
39709,1155
49346,301
42323,771
47057,2352
43975,2345
30363,1403
38281,1415
44537,2837
32592,1446
45757,89
47242,264
43986,1807
54771,2635
38691,1087
39485,2340
39483,82
39767,115
39162,485
44583,149
54698,1658
35286,998
49048,235
35894,103
47555,1109
55684,2091
49666,466
51210,159
52463,2554
37006,332
52985,99
44287,104
43262,383
41762,1220
33370,721
37545,160
46082,1308
31977,2541
59822,1859
49408,1595
45620,111
51562,2374
50401,88
49430,95
44974,453
45399,1627
30811,1753
37928,87
46516,1131
35721,1235
54041,279
35257,1735
57485,1151
44689,887
32917,1767
36081,220
39496,343
44540,504
54118,255
39014,891
41762,201
48654,2382
40349,213
33393,1323
35106,91
35177,99
44245,1377
37346,2103
35139,2431
36500,2038
34544,2401
30325,1887
50527,1244
162020,1253
45154,270
40548,125
36316,583
28469,2147
41710,2215
48274,2012
37405,1864
32249,1475
37548,141
32901,1933
30836,1306
30430,1751
33159,1989
48881,1623
48901,911
48734,969
54210,1904
40611,2041
30046,175
68820,108
33638,927
36157,1867
38712,2800
53614,149
39326,351
54012,569
38019,672
61579,396
52268,103
39732,1151
47806,1874
32476,1243
47953,159
38223,1035
48359,91
38047,131
41669,1158
35797,86
31663,82
50463,1092
33608,91
37309,1663
41391,1226
34958,122
39280,1695
56370,927
34910,222
45928,1035
34638,1355
50444,1964
51843,84
50406,2558
44222,97
34209,128
56259,1043
31184,152
51128,255
48666,1561
44398,1528
42033,915
56253,119
53492,979
46432,333
44227,83
41139,85
41938,123
47966,545
46406,1291
38970,91
59827,93
34263,2140
37150,1475
30990,809
36130,95
29033,1627
27761,86
51408,1246
37015,853
27795,1412
43784,1126
45264,981
46297,124
45120,859
31750,831
48098,935
33014,151
56835,112
52838,1581
35175,90
46824,327
35393,967
47847,947
36070,92
58775,426
56846,119
50468,99
54756,1765
49743,1111
38838,91
81406,251
46508,541
52810,840
52580,1982
47901,1943
43378,674
50442,1366
42896,1667
47557,106
47228,1281
48020,279
36814,162
56657,1384
44834,136
45166,94
46490,2107
58539,116
68217,2376
61276,1098
31933,400
49263,2180
52948,95
39480,95
36573,99
35983,2816
52461,2106
54303,792
34610,2900
29942,1403
42739,287
43895,491
31393,2362
51302,1511
33290,653
40895,2124
41658,490
57995,1589
50873,291
37110,2528
44817,122
50325,163
34743,2615
53558,113
60736,350
33930,81
55809,660
41173,719
53089,1157
31168,777
48052,1531
48800,1339
54727,2573
51978,555
38032,1611
35261,1565
30926,115
36675,111
29768,626
35317,99
33270,143
32144,138
51488,1251
39676,729
32829,1768
39667,792
39492,1820
31291,288
29240,135
42874,632
92599,814
36167,1077
34561,311
32825,1216
39103,95
33053,515
39975,101
28710,83
34446,434
44923,241
29706,603
43889,97
37765,87
29447,264
34121,1075
36505,721
39807,229
44769,300
39795,311
43826,395
37932,583
44021,379
38108,92
49825,699
35686,93
34963,203
36195,81
38610,315
38808,448
35177,87
32534,89
30723,163
41099,371
28282,286
29173,262
72716,89
49963,83
33033,85
50362,164
33473,115
31210,81
32252,81
Numero de fallos: 0,
