Tasks: 400,
Gap: 20,
Threads: 8,
Verificacion ns,Consulta ms
56892,115
51075,122
34019,103
48590,83
41242,83
47868,96
42572,92
50449,94
32392,110
47167,114
58955,175
74034,163
48076,96
36751,152
52550,99
69823,403
46028,84
50449,111
44404,98
52043,108
78944,121
48036,95
56058,89
38915,151
51793,696
35238,205
40215,165
52603,783
37315,733
35747,835
37731,465
40569,112
53426,224
51116,859
41109,104
48052,300
32446,675
36875,848
42849,682
39779,212
41276,728
48881,104
46644,98
42038,612
54672,107
25302,111
47227,115
48999,1130
47199,287
55478,87
34712,107
34251,888
37689,89
42010,282
35867,741
53347,781
49793,158
28308,147
36187,271
46251,81
31554,379
46567,348
40103,87
40371,112
50882,106
33137,576
60565,415
51128,91
50111,256
48230,91
46413,92
40846,99
44657,1903
54982,971
32486,118
47488,1815
37774,1443
29897,1445
51823,1012
50211,1134
52636,1025
40054,1865
45874,1515
31202,571
54051,867
39142,1221
49470,131
33251,108
39930,98
61393,151
38030,186
35559,2127
54372,2116
31133,99
41469,107
47646,675
41597,1431
33105,1077
36284,1476
38581,564
40046,231
57223,352
53136,315
54750,527
44569,2005
54167,1149
54364,1552
49408,1573
53646,1555
51483,1157
54202,83
35779,87
50327,87
43281,2182
29469,83
46339,1464
54392,187
40824,549
51374,284
49537,103
41666,165
56110,439
95911,508
46288,1471
34824,90
43006,92
41668,119
36857,368
31284,770
43277,99
47071,780
37647,803
46281,97
53653,573
56123,96
58981,129
41896,539
42160,511
39526,120
59659,184
4038035,134
36973,90
56406,703
40039,209
38087,1171
37323,1476
60408,351
43707,1635
73070,353
49614,161
38196,93
109717,1481
39257,131
59433,194
32258,1978
35260,2022
33880,136
47761,628
33791,635
48255,1641
43168,303
40897,80
39897,2352
49730,1585
46090,2271
35645,2469
43591,99
30974,106
35140,2416
37521,1233
32184,1120
65297,606
38753,138
42522,222
42505,1707
43587,1825
47680,1715
45678,2221
30729,1039
44859,158
34935,1275
54438,910
54239,93
39419,87
53202,1539
31743,1701
48459,95
35636,137
35389,483
42320,170
42095,435
34299,1605
58067,1963
45102,1180
41860,2014
39124,2066
40694,169
49770,981
47916,103
51019,183
32810,81
45272,1005
42133,1915
50398,98
33685,93
27053,2121
38613,226
37886,2408
36488,1891
60909,1057
48419,106
44478,2059
35271,1956
37100,631
47187,159
46509,2774
46471,84
22746,85
40188,119
40214,1037
49096,411
40664,722
48332,2887
67793,3188
41014,2206
37761,250
41922,745
47508,2395
32506,1035
38708,1247
45357,228
51644,3023
49590,1775
38031,103
52131,117
48544,2883
39258,973
38766,103
34764,97
34160,182
40345,1837
33421,2257
34887,1460
51941,2855
37793,1603
36703,1741
53566,1479
53975,887
40329,435
35487,90
44795,2052
33684,106
34651,483
37184,1463
49779,195
69602,1709
44541,972
35854,2491
44400,2085
39175,511
45960,167
40577,93
44401,2611
46812,1149
40046,1139
47667,482
54510,86
52742,82
52659,428
45684,2831
32559,1617
40521,347
40101,1632
48571,201
57202,1927
50409,2225
32810,83
34916,113
30271,167
35912,2357
39082,2411
48700,1851
32595,2598
57767,1589
45023,199
35739,125
34804,297
46692,1520
41334,1761
36874,919
47219,253
36441,1649
40081,1132
46262,1140
56348,1269
52256,909
40552,2153
37947,176
49170,196
33718,87
50557,91
48391,117
38396,1737
46121,666
48190,1932
38860,2222
46227,285
53260,1016
45021,793
47474,139
116372,2527
38695,95
53909,2898
38526,156
40793,952
54208,2392
42822,193
72043,2080
51483,1773
59369,215
40855,2299
32831,3051
49806,248
30385,119
35197,87
36488,171
36145,133
34640,231
35735,666
41369,189
45934,723
43515,1416
53770,2967
34298,1927
34527,1560
41888,1662
56951,227
68784,160
41133,467
44857,507
49001,1989
32596,2585
39184,274
30536,2398
47751,2215
34210,91
36805,636
39293,2794
52189,3012
35808,2314
34094,1183
45970,1433
36733,635
47573,1209
26930,487
58966,1144
60519,1367
47817,859
36831,1756
44218,87
36514,118
39729,1002
32452,1536
47600,287
26915,1579
28772,1251
40695,587
28935,97
35426,1564
28799,94
35794,1525
30700,667
33560,1585
53238,479
32221,1299
42524,543
34352,791
40826,91
35102,921
43919,1267
34985,1235
36444,1195
31066,250
32868,595
39124,82
39096,83
31752,83
35117,1171
32073,827
37831,888
33113,229
36798,866
35558,412
37600,382
32438,288
30517,454
33785,323
34785,253
41705,188
47431,325
Numero de fallos: 0,
