Tasks: 400
Gap: 20
Threads: 1
Verificacion ns,Consulta ms
4000072,188
642569,1654
773648,559
685107,702
627248,167
480763,1583
616620,154
11138670,1777
476299,466
3994232,3168
479482,1785
598162,3328
3179580,1684
1596874,95
1008603,4858
1074416,4567
2001056,4987
884720,2601
871344,5426
637619,5382
602825,4986
974208,4311
1249551,3543
1232590,2820
835722,3237
885691,4974
908094,4828
1277616,5000
959867,3561
958124,4899
729447,5280
835212,2367
568425,4328
627014,4884
1032215,5303
928005,5085
4502889,5869
512861,5762
3990640,4481
948377,4003
6600711,2931
805295,4561
828750,3691
1007188,5496
761241,2668
920069,109
963588,4523
939101,3004
4000391,5256
683853,6043
808376,4895
924827,2819
943436,5262
720952,5355
543215,5243
3987273,4162
845519,2505
586260,5707
669125,6543
1021954,6637
726231,6969
590388,6622
1162156,3732
969332,4826
970642,4704
870190,5300
845876,6928
1073181,6683
1223584,5574
603585,5188
537938,6621
725883,6174
566887,6300
627797,4673
623270,5721
960688,4494
972986,6218
932958,7431
565767,6914
572903,6079
952709,7366
902277,6683
857658,6713
624920,4585
682933,7135
4646458,6528
726400,7474
1048549,7167
732560,6320
643702,7119
811879,7548
976215,6027
1003402,5767
1049668,6150
726816,5483
684806,3571
612181,6959
914845,7359
1023671,3223
660530,6355
814739,6363
755556,7899
1127414,6325
978471,6335
600846,6358
645862,6904
898017,7380
11998478,7643
924948,7037
1018989,7319
537318,6711
3996576,6163
681623,5982
760057,6494
778402,3849
989117,6788
563575,7785
1016336,6420
972780,5982
3356585,7911
3991846,7380
907065,8226
1197230,6415
850267,7603
512499,7635
624609,7276
655900,7811
555198,7076
812607,6286
802894,5279
887309,6275
692376,7856
604816,7019
992353,7847
935761,5945
587221,5261
1062017,8315
568929,6517
807240,7630
866937,6689
1104841,6299
947915,7651
713069,7248
638150,7318
705331,6507
3538569,6801
666894,3789
688555,5414
1153071,6244
1092635,7841
1033916,3420
878134,4669
1018481,7401
1070627,8545
950473,8027
915919,5904
998631,7659
892757,7423
1583735,6439
941869,6255
961697,7544
983881,7555
811869,7606
962280,8047
875851,8466
1296345,8527
848819,6612
928177,8252
737883,8300
663642,8511
954452,7198
900017,6498
1088905,6567
1129179,7837
768651,8699
888043,7359
523659,8094
576831,7777
1063510,7038
860441,5099
540198,7749
652432,6977
1124020,6527
569087,8617
777651,6997
560959,7383
1455322,7067
979566,8687
762670,7890
1223502,6665
940716,5687
1229681,4822
1038444,9111
603997,6682
4461673,6992
935757,7955
492230,8019
1171816,9826
1195500,3376
567842,8012
623835,4487
693770,8347
1050480,8780
724257,8051
937254,8367
989234,7325
753785,9289
979972,8250
1067003,8554
813768,8889
1030445,8076
553005,7444
700494,9279
942523,7939
903850,5686
1118758,5680
1065828,3292
1071142,2428
964565,8350
780248,8737
833194,3521
888254,4395
1084637,5128
966553,7243
1080158,8588
723200,8089
11990150,8220
656914,3000
615930,4842
1708334,7387
6639877,7892
671228,7114
672293,9343
1000343,5850
965939,8849
1128579,6680
773128,8580
784570,7601
1045053,7442
547574,8758
786318,7975
1026283,8863
1032152,6550
822637,6571
821841,8174
523299,8145
574356,6749
783701,7741
889382,7019
1013916,7099
956033,6756
627548,9252
673676,5785
900715,7509
709726,9676
598003,8441
621780,9362
580262,9908
586787,10079
957222,9179
991252,7318
1027933,8616
728053,9760
725695,9691
1116382,7251
569175,9668
653764,9211
897640,8467
997514,5347
1062954,9963
1055297,8253
923653,9583
1022429,9348
937215,9028
1147752,6343
982346,8467
1126627,9132
1061676,7971
742400,8399
1209061,8466
997936,8725
1127252,9603
1213635,8607
1030681,6835
1121973,8383
1045773,9390
1155998,8700
1248889,7875
1179442,8567
1049538,7889
1120409,8159
1534662,9127
1167608,9246
1273029,8371
1072391,7904
1361631,9467
1128735,8971
1174241,9320
1238642,8951
1151958,5703
1238806,8404
1232926,9402
1332529,7495
1410390,6027
1010013,8487
1048316,8504
1129840,6430
1079511,7249
1033133,5568
1033300,8170
1162005,8523
1292835,9435
1049221,9339
1174881,5787
1423956,8529
1052033,8711
1072858,9159
1066698,9254
1125114,5307
1054249,7109
1077807,7875
1055020,8380
1066511,9479
1052027,7812
1126296,9175
1038065,8155
1092316,6252
1203849,8140
1115424,6872
1061168,8367
1076200,7719
1096032,6551
1034690,8511
1072395,9323
992443,6679
1040145,8248
1018767,9685
1145708,7977
1090907,9822
1116513,9778
1173839,10003
1100883,9257
1096269,7086
1170865,9038
1280740,7646
1069424,10243
1295180,9643
1223157,10550
1123353,6820
1489330,8948
1135353,8108
1183996,8851
1192162,7533
1178076,9387
1083327,10177
1149470,10254
1232629,8819
1186549,9899
1126784,9423
1108307,7725
1129824,8001
1234233,8531
1026645,8354
1326113,8913
1086958,9229
1680490,8394
1281733,9346
1136212,10616
2521050,8385
1237594,9521
1479895,9285
1123262,9809
1396933,9827
1017133,9268
1103730,9019
1064703,9427
1178710,9632
1115671,10027
1140465,9403
1030207,10881
1084593,10303
1089383,10651
1232087,10136
1167856,9588
1060098,9688
1004008,9967
1015843,9845
1052963,10668
1270594,10109
1281408,10097
1149353,10905
1010752,10686
1110389,10548
1059555,10615
1219532,10702
1183171,10670
1231383,10711
1061679,10623
1144584,10685
1042585,10724
Numero de fallos: 0
