Tasks: 200
Gap: 40
Threads: 2
Verificacion ns,Consulta ms
748947,100
725163,160
833330,83
792105,88
823662,115
840168,519
899010,1430
611485,1003
993300,725
893668,1095
803424,186
1088368,97
920971,100
1214666,187
2640242,966
516729,2165
627782,2355
578985,1877
766455,1357
502829,1442
733966,533
596634,1696
532239,1840
582116,426
589624,1774
765962,642
877082,1409
814252,1234
560415,1056
870043,420
620747,1797
570352,2223
661376,1646
765946,1200
765658,1598
1047289,1172
702688,104
493326,950
641720,205
4763264,2211
625735,1687
739573,1622
590137,1533
956739,1965
1358686,84
1158123,1875
579331,547
1168543,787
511058,2022
1129229,437
505881,1846
625769,1294
656992,442
628297,787
546253,1993
580045,1043
618646,445
525881,92
545164,114
2960022,1893
729258,1187
583011,1047
537450,1339
573090,387
625956,1050
520715,814
555577,356
560685,970
644248,891
613206,1935
866612,912
802933,1650
501317,614
544159,1449
515934,113
858313,757
548651,2177
549630,2110
511045,80
642959,1262
668384,1220
632704,566
497727,81
598073,1093
603568,2765
606268,1761
545033,2221
848340,2711
835964,1945
606189,258
688829,3024
1056895,2266
566549,2781
891409,1797
854603,1354
21827485,122
632321,3338
590087,1965
829698,3428
772987,2794
639960,3552
656370,2289
969270,3446
1145650,3510
579325,3954
4008642,3399
894937,3624
913686,3606
517762,85
1088523,3738
524063,3707
494085,3278
647138,3012
955656,3945
579267,2694
806155,3035
533175,1510
785306,3155
606976,3001
1021011,2869
1563444,1809
767720,2549
1006178,2803
963617,2064
590736,757
812148,1470
867855,1873
3932420,2021
649394,3082
589125,1203
791720,1821
565752,1382
876247,1278
857715,2866
685757,2840
568940,779
626274,97
558773,2765
623870,2818
1013486,99
585463,2062
796587,1173
828378,2223
539724,1949
859221,1977
595780,2853
756554,1878
514807,1552
554355,3866
565843,1830
557553,2426
972675,2933
561469,1803
844212,1948
626941,2981
848827,2782
871008,1489
599994,2114
829168,1467
603448,2221
758351,2811
578037,2898
934549,2023
637718,782
945938,1727
660681,1245
942096,1278
692438,739
1033558,1467
983546,2419
713517,1921
1026027,1711
613318,2016
915743,1300
902933,2076
687219,1214
1098783,1446
939757,1938
544298,1304
1130600,1837
648897,1025
665877,1872
987892,1762
686647,1949
1205661,1615
722400,2367
682992,1621
892060,2005
582540,1815
930362,2082
851262,1892
724997,1697
881249,1602
633548,1580
963226,1647
923728,1970
666735,1857
958418,1822
585454,1851
726567,1820
Numero de fallos: 0
