Tasks: 80,
Gap: 100,
Threads: 8,
Verificacion ns,Consulta ms
73032,82
36250,100
36944,95
36504,117
50413,81
46622,96
38261,83
51077,92
30230,84
35674,104
37797,94
43666,96
33352,91
29846,85
47160,84
29717,97
64329,84
42430,99
31134,81
39415,95
46030,89
45167,82
45315,98
51104,92
50869,93
39535,83
62163,95
52291,96
65228,98
50716,82
64913,85
52249,96
48324,82
44478,83
35874,82
33158,84
34741,85
53091,85
78475,104
44596,89
46226,81
36127,82
31599,82
30419,82
60344,82
32475,82
36723,83
35802,84
43607,81
48252,84
33390,88
33883,81
31787,84
30423,81
75959,86
96159,88
45918,142
38526,81
82354,104
42940,93
36494,83
44714,92
38491,93
30101,83
23158,95
42846,96
28797,89
31133,83
46995,97
35308,83
46218,85
33372,82
35887,84
37006,83
44358,81
55837,84
55034,82
46913,83
37647,81
40275,84
Numero de fallos: 0,
