Tasks: 80,
Gap: 100,
Threads: 8,
Verificacion ns,Consulta ms
101188,87
80965,98
100300,94
57043,88
52443,98
35486,92
46603,91
46966,112
37584,120
44578,83
44314,98
32041,83
32986,82
45065,96
58329,87
47011,95
49410,83
30867,82
44332,84
34548,81
54342,96
34852,81
30806,84
31037,83
44938,83
46310,87
33301,81
43911,83
47201,82
76290,89
87769,88
40791,84
40265,98
35880,82
29525,87
35502,80
35923,81
44628,83
48520,90
44672,81
37711,89
34156,88
55038,83
44887,85
49601,81
50911,82
41532,82
52404,83
41974,81
32801,84
42656,84
49814,86
45701,82
32119,84
32960,83
31835,85
42323,84
32391,84
48262,83
47238,84
37010,84
45218,83
36074,83
56039,83
38524,82
52026,81
57236,84
37108,81
50123,84
63350,84
37068,99
107112,82
32839,82
44951,84
37408,81
61467,82
58330,81
66030,81
56653,81
50535,83
Numero de fallos: 0,
