Tasks: 80,
Gap: 100,
Threads: 8,
Verificacion ns,Consulta ms
87471,98
69365,111
38735087,224
45541,100
77431,93
75100,99
84979,99
58752,87
30501,155
62512,137
44849,100
49735,99
22394,84
36124,99
45551,93
40095,95
39012,93
60554,83
25420,87
39932,82
60682,86
59338,82
43892,96
31119,90
35391,83
34972,83
47782,83
40443,84
34507,95
39955,89
52524,83
47831,93
49208,84
45229,82
32696,81
35950,82
54167,84
51850,84
30919,82
54701,84
44601,82
59995,83
45898,85
43118,84
34545,83
32226,82
57140,85
51560,84
39345,83
52094,81
42156,91
47957,96
29974,81
49798,83
54842,84
45630,81
53286,83
64390,81
51821,82
41401,83
39240,83
104458,84
52684,81
50259,83
54285,90
54901,83
54263,81
30210,83
52420,82
46194,81
51326,81
36941,81
51627,83
57163,84
48350,81
77715,94
53136,83
52976,86
56422,81
57579,84
Numero de fallos: 0,
