Tasks: 80,
Gap: 100,
Threads: 8,
Verificacion ns,Consulta ms
58976,136
32409,122
29043101,111
37989,94
44430,93
36659,103
34556,82
43557,97
33973,83
50764,87
60771,84
55070,83
44804,90
40786,84
37601,83
49616,83
41870,84
44611,85
33180,83
41399,84
50736,94
44381,82
34238,87
35285,87
42102,100
24421,86
35165,84
39890,81
49010,84
42490,84
48194,84
1,81
52235,83
37225,84
31705,84
41831,83
36329,90
40550,96
47105,89
35843,83
38860,85
55829,82
53790,83
37787,82
45329,81
52634,81
44326,83
42762,82
42786,83
53201,83
42913,83
57522,84
85569,106
41614,82
47039,82
57407,88
33916,84
37732,81
66604,84
45209,81
47690,84
61853,82
61240,81
42620,82
46737,83
40302,81
41526,84
43702,83
43488,82
43515,84
41895,82
47815,82
44083,82
94493,88
79234,102
44962,86
82975,82
31978,83
41079,83
50092,82
Numero de fallos: 0,
