Tasks: 200,
Gap: 40,
Threads: 2,
Verificacion ns,Consulta ms
50406,82
42174,86
43250,175
45708,94
45561,255
34892,94
44721,1423
33715,1575
29092,217
47542,1342
30358,1406
41630,1154
30301,888
36980,1430
36729,98
44694,582
46048,1146
49144,1412
39605,1110
37974,1138
47627,1326
57599,1277
42854,81
31641,1827
40119,1382
36821,1314
38622,854
50828,938
43536,1126
33042,1470
45900,1162
43357,1398
44860,1034
39115,1290
41370,858
37662,697
34773,432
43897,1022
46945,936
46838,847
49981,94
32148,454
48006,929
42062,86
45134,145
46360,1650
42657,843
33857,239
36250,1294
40768,1046
43659,147
50551,1094
53637,1219
43866,1070
36966,703
28653,86
45242,1477
76289,270
46743,668
34038,1110
38274,1386
65966,1476
47540,902
51997,1420
36397,1530
46138,1043
52222,1567
40535,1046
53751,1876
62700,82
44664,1159
33784,1111
81292,1552
40247,1527
31886,1397
48565,1046
50004,1425
50219,930
39563,184
47020,3204
53335,2801
34919,2582
48244,2784
46500,2940
49012,2994
41036,3346
48417,3462
62866,2194
47790,2732
33398,1905
46249,2282
48081,2833
48418,3555
40704,3421
45331,3446
47709,3145
42099,96
54324,3531
46967,2878
38827,2510
40087,3024
38605,3642
35427,3535
32955,3757
48312,3577
31003,3609
50744,3030
47359,2954
39103,3314
35403,2658
36953,3585
50190,3012
31217,2101
34517,2638
36585,2626
44132,3368
36982,2774
55815,3124
36519,3284
49965,1261
53768,2058
44694,2718
38198,1901
46135,2932
48079,3146
30865,1030
47777,2998
41665,1724
39773,3015
42165,2585
46825,1914
32219,2788
46700,1281
47313,2842
39050,2728
48685,1762
41899,2523
50293,2628
55193,1949
51091,2115
35240,2136
40105,2767
43041,1844
39336,2226
48807,2018
33151,1546
48422,1182
45140,2117
49590,2476
35955,1622
43280,974
33610,2402
52058,2051
36644,1941
29324,1416
32325,2028
32030,732
48995,2149
35851,1709
40351,2305
28408,1677
30439,982
27657,1826
32463,1104
38481,1694
26649,1013
47248,1920
35123,566
53845,1276
26991,1334
36205,390
37074,744
31388,474
43832,1482
35612,1290
24072,1562
58866,1354
47197,982
32615,1466
52792,946
40007,814
54782,568
33066,1243
96714,490
70286,819
110272,1394
113766,663
108197,1427
89581,1526
105976,715
85832,1080
99414,890
89147,1258
89320,1122
132360,1330
358260,1451
92704,1022
108839,1189
133736,1202
127937,1274
Numero de fallos: 0,
