Tasks: 200
Gap: 40
Threads: 8
Verificacion ns,Consulta ms
8192166,88
4498369,99
4425299,102
45898507,130
4423300,96
4623651,319
47734236,131
47982561,131
7820557,418
6861828,111
5895306,111
4463055,411
4558079,111
4397530,341
4464838,313
4380881,372
29211721,125
4259734,121
4206115,87
4566830,167
26943707,122
7769645,139
4497933,109
4693798,85
11982931,111
4513468,112
7634774,209
4303098,89
11510326,217
70175474,157
10023559,90
4454171,197
4201420,87
4662928,121
4274673,80
4222249,117
4676781,173
27117181,221
4460436,246
4394279,100
4215314,86
4373722,97
4453939,333
7652064,195
47617345,133
4362283,85
25457519,109
55664213,133
4745902,101
11767739,115
18095041,149
4785618,93
19500367,108
4221898,729
33005685,123
75709266,151
175912330,255
31451699,560
11948072,512
13084779,106
7479827,93
27779883,105
4453283,117
51493316,445
7875342,93
18411671,425
4616284,107
4406818,186
83587815,616
9825090,89
11723990,89
20905733,155
4515511,173
4531051,873
4301421,97
4405855,89
4849615,86
7646622,333
4292781,193
4401480,395
4474542,253
4292362,94
4411587,115
5361614,97
4480296,87
4566102,90
96731309,198
7032795,88
4385948,112
4409004,99
4542587,91
4241879,93
5320507,93
15673478,97
31509202,121
4360449,82
4544447,100
4563210,113
24222093,113
7971378,101
7740169,693
5189697,85
23639030,508
4533828,805
4496399,754
11988158,106
4507663,93
7583410,106
4135210,501
5132305,123
4319207,91
11499981,106
5091092,150
7822176,305
63696366,623
4562986,125
7751315,279
7685237,93
4359069,89
11526235,96
11660945,175
4434877,560
104328461,208
7699811,106
4501758,1035
4412690,1179
4648066,1021
5955011,377
11979243,755
4390156,1181
4245135,85
21920736,118
57777878,902
4704211,898
39621591,1048
5127176,112
7985410,101
9961459,103
9149695,1126
4701093,823
186843290,1142
4299564,813
48026246,223
31946418,148
10666924,92
4472333,89
11962204,867
6510620,99
116393699,602
4548974,89
4433747,81
4260777,661
4364432,1311
4345679,973
4481470,227
7721091,1694
7701685,97
12265531,1416
11973197,103
4283584,520
4153465,1485
4616353,89
4448205,1045
4361097,85
4427294,1011
4404020,147
31655306,1364
27818839,119
8299936,710
7984090,152
5835125,1055
7290236,1167
57895825,808
7833482,797
4809008,825
6086820,828
6867318,1178
5632027,217
4468736,328
4327472,92
4621005,129
4133406,81
4798004,777
4241136,101
4403925,322
4283284,113
4432984,625
4354426,513
4363470,92
4242132,381
4380891,87
4361588,389
4207020,213
4481267,98
4068383,92
4866305,85
5135092,239
4306183,81
4465891,85
4607010,82
Numero de fallos: 0
