Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
42057,99
64190,91
56921,184
47647,1352
56425,2103
43128,88
45773,1114
57306,1625
41935,2339
49424,609
53347,967
38894,983
50547,1873
51390,2202
36230,2867
41797,646
45010,1123
35913,369
52572,546
49019,2137
40349,3184
53869,1591
63491,1316
57900,2895
53956,2910
49361,690
49799,1875
45033,2797
53297,3078
52130,97
37394,3340
56902,1674
40137,3128
56965,87
52350,2646
60756,1386
54288,3694
53641,2894
51327,3788
42215,1346
50899,3596
45922,3484
67012,3613
71615,3404
44858,1086
56832,1226
67003,3280
40056,1183
43863,2473
48356,1490
40755,129
47395,3594
40956,2601
50540,3922
43859,2644
44541,199
46340,1906
49080,4104
53811,3824
54501,3281
43979,3878
31560,3591
48494,4695
47670,2703
32457,795
36664,4904
43415,4376
48258,3943
47451,1965
37139,3558
52271,4116
33175,4070
37188,1758
57622,3304
45033,2899
49473,3734
41793,4360
43488,4064
25415,3659
56715,3199
37601,2902
55693,3632
47984,3104
45112,1060
46403,2395
45593,85
24237,935
49278,3952
48498,3266
33590,3240
58722,80
52147,2752
43527,3928
48269,2602
49860,2024
54023,4020
50759,2894
56200,2165
49821,1491
43011,3844
43912,1882
52967,4337
67528,926
65480,126
51250,3812
41757,6032
50983,90
31109,6594
41542,6182
32449,4331
52122,4905
33659,3511
60575,5936
75197,6043
37121,6042
38303,4993
46196,6596
50885,6228
42589,6214
43059,3798
49234,5582
52529,4359
42702,4715
127289,4465
29514,5840
37106,6283
52820,4620
44055,3951
47023,4155
36265,2640
45399,5931
46616,5893
45058,4955
31730,6317
34294,5898
45203,3178
53136,4858
46247,4375
32105,5201
39783,3882
47504,695
37825,2102
47048,6404
30271,4762
36071,2766
43099,5820
35840,1546
83979,3372
29938,6027
44670,4835
44493,5382
42231,6705
46033,5410
52056,6044
38453,5014
44055,3999
40910,3680
47589,2715
49084,4291
49855,1741
48189,5967
52816,3978
34474,4823
36047,4900
49702,5331
53377,5687
46185,4356
45289,81
38461,5596
37296,6114
57164,3521
39490,5992
39423,4033
37450,4678
38413,6078
49091,4466
49893,6255
64489,1994
40510,4280
56752,5517
36730,6630
55129,5507
50380,4492
38577,3595
49224,4555
41953,5120
50572,1953
42561,1775
32730,3030
42909,5382
31375,2006
50113,3432
31462,1476
23032,4794
39481,5713
38348,5365
43287,1286
31727,5212
57447,4768
38609,5150
51422,3714
31937,2590
39399,5322
35853,2506
29627,1614
41056,3830
29326,3776
37923,4736
51188,5274
17765,6087
33742,5678
28509,4394
32749,4195
35424,3759
32150,2319
47461,4115
44299,5855
29793,3708
43311,2488
49917,4232
45929,5151
33146,3662
39923,3601
56195,3350
52452,5218
50493,3350
50542,3870
83916,260
54118,652
38633,5222
47654,4104
63686,200
44292,2024
90260,4611
31044,6587
52650,3912
45587,714
49435,5466
39503,4145
50644,5023
49751,2243
44492,6181
43077,231
81657,5666
46270,5728
27364,7023
53512,5568
46998,6158
34511,4859
47635,3914
36054,3347
53590,5470
76292,4128
38083,3281
53351,5039
47668,4490
48691,3847
36109,3722
39850,3851
42979,5803
38385,4689
39887,5214
29488,5372
43072,2545
59539,5574
33080,3516
28083,5244
42026,5405
34888,4507
51075,4888
34565,5686
47076,5970
51347,5957
47211,4437
24127,3723
36656,5558
47146,4928
45972,4386
50292,5372
36991,3165
45629,2936
40601,4095
42613,5960
40118,3779
50082,5233
35849,4738
36624,1469
36831,4487
49535,6272
39827,5715
39875,5548
30961,5593
39046,4282
35996,5902
46832,3056
39655,5390
45429,4467
35395,4134
42636,5607
38472,4193
52284,5160
44826,5824
32435,4018
47137,4491
33038,3096
38988,4918
30042,4946
41411,4346
30160,2370
42777,5498
35089,4706
56113,4496
39663,4014
47475,3672
37844,622
37192,3167
28683,3424
31360,2932
23637,1347
46236,4882
30915,4902
33112,4599
35311,3154
33588,3962
33200,2734
39496,3150
29786,5039
46327,4961
38529,4478
33044,2350
34018,4558
41454,1784
50213,2875
35008,4780
31077,3691
50219,2461
33479,3790
43998,3157
31551,2610
50800,763
26882,2411
52257,3604
32960,3977
33836,2094
54383,2347
43682,723
32484,2762
103156,2865
49564,3142
64310,2350
66539,3450
43496,2793
46821,1753
42076,3386
43565,2958
50125,2997
46237,1698
123443,1547
82154,2962
94793,2615
86778,1833
113553,2728
213695,2768
114399,2709
65790,2520
103580,3331
85729,1978
93339,3039
97225,1898
56908,2028
88118,1582
109942,2340
81696,2966
170749,2287
97119,1466
113804,2987
99417,1824
122788,2309
99467,3080
112013,1983
86082,2798
135881,2841
108568,2995
72064,3043
98431,2695
238983,2570
95017,2647
116053,3403
76774,2658
93346,2282
77733,2563
136552,2506
77572,2844
89969,2762
90350,2539
87927,2904
92153,2602
78405,2697
120900,2747
102999,2866
Numero de fallos: 0,
