Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
44554,87
38630,563
40833,1105
56080,860
39572,231
47975,724
43570,1121
44772,160
34546,112
33828,262
53288,690
49317,774
45611,1329
45174,618
70738,218
60322,291
45775,920
37725,1118
49730,1345
34319,894
48468,82
44045,97
49410,853
49196,1210
59085,1931
45421,92
41393,1066
60123,134
47175,1892
54347,1848
38935,1272
40786,2316
38481,2354
45696,1877
40260,160
61715,547
34173,2029
45820,686
48648,2419
49632,2151
65179,2190
49570,2283
42782,2398
49079,83
47452,814
45100,2642
54710,1798
48081,1478
37853,673
35542,108
38856,2670
52582,193
44386,432
23318,3016
26393,2550
46435,866
36039,1711
50617,2628
31749,2707
37502,270
37773,2046
49151,1247
43666,1692
58896,1776
42364,2588
46436,1690
46412,1857
35099,1915
49828,3307
38172,2653
48718,1441
43280,3607
40611,3424
52050,3590
53685,2151
49572,365
39070,2248
47722,2094
36931,2622
38797,3001
70024,2198
45260,2766
47377,82
47671,3031
48484,278
55392,3222
43487,2549
37645,1242
38993,2882
41432,2409
45422,1106
39200,2902
46019,2713
38124,737
48629,2125
54983,2244
35835,983
70033,1005
40491,1923
66752,210
43537,294
45872,3148
35548,2594
46139,2343
40501,328
28788,2521
49888,1599
45725,4396
52493,3571
55808,1070
36992,2632
79164,4130
44886,4073
40883,3092
47375,794
38962,755
67791,2441
39502,145
57439,3611
37724,3665
43413,3714
64680,4092
50515,169
34203,5247
46747,3483
44369,3963
38172,2775
54300,7112
49505,5705
59128,6575
50479,5541
45415,4308
55157,5355
46559,5808
39771,4901
39926,7296
51024,6644
44898,6981
52427,5568
51479,578
47013,4947
37444,7773
52256,4439
35841852,249
47618,5426
51431,3170
41166,7218
41176,5522
35152,4580
29159,6630
30221,4060
44630,6719
24718,2649
55695,4096
46998,6267
31994,5311
47804,4618
41642,5783
45543,6964
39225,5506
57780,6048
53221,6701
42354,6606
37094,1932
36314,3403
45509,2316
45059,5957
51943,6658
34352,3582
55263,5990
45950,5140
29410,5960
58092,4516
46612,3927
38502,2280
40992,4297
49448,5749
47611,5119
51721,5536
51129,5841
40234,5896
35643,4867
48763,6305
53241,5895
59076,5928
49387,5399
42446,5450
45281,6826
52253,5184
45634,5790
37803,3919
53443,6732
44021,6804
51061,3779
50087,6753
54627,6513
48137,6226
38927,7753
36305,7110
51269,5597
43326,7660
45347,5187
54203,5969
86901,5364
47157,7297
52758,8064
49301,7744
33817,7910
49723,6275
39320,7162
51230,6810
48577,6008
38327,1309
36503,6707
52976,4287
48501,6923
42618,6219
42484,6737
45542,4331
47130,3815
40841,8172
44717,3868
48884,7639
47282,7124
51060,7270
52146,8138
52566,8675
35335,5404
34170,7429
50148,106
31072,7965
77640,7802
73969,8321
34147,6017
29846,8193
27199,7050
35300,8832
54076,5440
49540,7762
42281,6518
43585,7911
41617,2048
32585,7194
51922,5784
33550,5518
25050,5048
47758,8485
51802,7392
39898,1226
31955,1334
36080,6982
37030,6687
48511,8291
48110,8147
43005,6623
42246,6951
49236,7132
37355,6681
52783,5247
53836,3382
38391,7785
37984,6748
39238,4570
44258,6504
44251,2654
43580,7401
30684,6669
37863,8698
60688,6231
57764,4515
59294,7536
63948,7507
43409,6494
56933,4410
50279,8412
40443,6164
48378,6827
44758,7226
57424,3326
42822,106
36400,102
38564,7514
33059,3632
40268,3323
29278,4814
55216,6902
33692,1352
37810,3492
31345,7210
33333,4330
35477,6329
46710,7398
33274,6767
45224,7234
29687,8026
53759,2876
38049,1145
56388,3548
33512,4788
39273,2009
36712,4038
34717,438
41029,7054
43398,6961
31144,3215
53685,5118
49842,4665
42924,5911
29167,5042
42629,4788
40788,7483
33177,2436
66484,4128
137168,7272
93733,5794
75191,1173
95101,4175
109560,1319
135470,5238
118532,4315
96546,4858
200931,4568
95418,6907
82094,2115
119090,5045
82297,5130
301796,4824
77115,6438
120005,5629
74042,2265
121986,1991
117402,4043
96694,6251
84589,3425
68853,3931
86781,2696
85335,2690
101696,5292
159700,6140
95524,2745
75953,4128
101749,5502
77289,5463
91753,2801
69217,4128
109915,2883
97964,3308
108131,4332
119119,5334
89591,3709
66928,3858
112026,5356
78679,5552
86921,2775
81666,3714
123612,3365
85328,4836
66561,3986
109878,4031
109671,2785
61225,3185
114331,5416
79805,4339
124970,5285
99694,3908
89534,4227
85969,3428
94051,3775
114392,3923
107704,3420
56063,4416
86172,4678
79871,3851
119583,4251
77179,3711
204247,4818
104766,4859
122296,4846
115263,4923
93490,3908
136268,4875
99067,4415
76858,5479
101605,4306
64158,4240
123760,4270
91154,4243
95855,4561
98297,4755
93784,4831
77225,4055
91556,4532
62826,4597
95448,5224
88842,4413
115084,4295
82929,4247
96006,4510
90881,4357
87045,4496
Numero de fallos: 0,
