Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
45293,96
38538,504
55669,1178
59082,819
48454,90
32056,1159
61272,94
51360,2048
37018,116
41407,1043
49755,96
49005,2066
44405,2539
48744,162
56983,3228
49455,416
52303,748
46411,3110
52538,2049
45939,3336
45672,1542
46463,1424
44456,1970
40778,3580
46916,1950
39969,3137
52368,3010
42545,2168
40305,601
47068,3830
38286,93
40383,3046
35762,2664
71252,3356
40994,2453
44507,4029
39845,1122
46427,2185
42456,1233
49536,3334
36751,3868
41990,1480
44777,3178
43954,2972
46988,2212
39707,1954
40236,2065
43697,1246
47128,2936
35179,2967
48539,1195
48551,4036
39816,4169
51840,3946
44328,3758
47645,2946
32887,1583
53120,3243
56758,4386
46199,379
78841,3420
41410,3799
35926,3586
44925,1638
40504,164
46094,3058
28697,3254
40766,4073
44825,3998
46023,1571
46401,2851
41255,3366
62654,3998
39752,4403
38668,3518
60532,2762
27128,2306
51876,3836
35558,3106
43087,3437
35766,4524
38642,4345
35443,2898
43323,3019
54154,4014
57659,4644
40638,3918
52586,4489
44470,1119
51594,4796
58291,3618
29507,171
52675,1772
44135,3582
38059,3356
35935,3670
48531,4355
30123,3518
29966,3818
45027,3663
56966,4763
31007,4576
28943,691
51555,5104
31500,4140
65298,5739
54694,5320
39195,4537
35737,115
58483,3706
44776,4434
36040,4149
42000,3087
40885,4470
31550,3307
38984,2482
50337,4090
41526,3142
53602,4069
45183,3580
35005,4826
43263,4628
43338,107
33639,3943
41823,3143
33782,3102
46151,2779
54746,4324
51457,4302
43806,740
48921,2064
47023,1274
40758,3073
49195,4554
98421,3582
42692,3955
42370,87
73785,3600
53725,5092
51556,3224
46956,1975
48729,259
53868,3236
38657,5136
49528,4858
36549,4888
30709,4746
49200,2058
50567,2866
38466,5808
45191,2398
44996,5196
46005,5536
37027,3893
44505,3112
38156,3106
73561,4814
30584,3248
46052,4943
37060,2373
41763,3288
46285,6043
32914,3992
40764,3135
52340,4964
59084,5155
26932,3478
49596,5315
71326,4303
65485,4064
40548,2744
45394,3988
48595,3314
36420,4583
35390,3186
37400,5102
37959,2297
41014,4168
48226,4508
52984,1315
51327,4550
37690,5435
45231,3952
33314,3726
32113,4476
29801,4842
45862,4760
48375,3829
41193,1906
37556,989
39607,84
43876,4887
51215,3432
42676,4550
44434,3537
47194,4617
42620,4487
52910,1942
48069,4192
41522,3478
47801,4510
54003,2236
50746,3364
62050,4795
46436,5110
45896,3619
46081,2376
40943,3235
61298,216
53867,3289
38978,4606
40725,4703
41458,3364
48636,3795
49072,3566
35201,3573
44213,2930
33549,4421
31603,1654
57118,5678
37758,3906
47754,3972
57750,4362
42116,583
48068,4163
32589,4129
41474,3605
47628,3982
31117,4151
50203,4696
50448,4507
62308,1727
46818,1473
42932,3448
51315,3712
43077,3746
30587,3031
33607,3567
46877,2902
42944,1901
40156,1239
31624,3542
56730,4710
42950,2224
37304,3412
30692,4332
44546,3802
38115,3827
44642,3866
35781,4110
36985,4051
40894,3819
43402,3883
41351,3570
44428,2676
46035,4713
52692,4408
37142,4064
47471,2597
35039,3830
31294,3603
52089,1810
30577,4469
41245,824
32161,4556
44792,3514
38735,4574
51026,3726
52453,4626
46804,1754
29246,3546
47484,3069
43041,4716
45358,4640
36398,4409
45821,1955
45517,1896
40691,2543
48487,2012
29362,334
57059,3476
53593,3900
54934,1727
35408,3721
57385,640
61439,3918
35839,3802
56011,98
32013,1924
41879,3302
43081,4214
36809,100
39803,4908
60049,3444
41759,3495
73991,2711
44615,4705
39597,3457
39031,3120
27925,542
64079,2669
58617,3290
43936,853
42250,1075
47379,2582
34046,3301
39499,5002
29449,3888
33600,2343
36117,3757
26027,3684
39936,3153
46520,736
53176,3853
81944,2458
36997,3453
75935,4110
49856,2351
36049,2892
46179,3566
47448,2694
34031,792
37673,4171
33077,3722
44812,3218
40016,3803
35998,2398
37549,4192
52795,1254
48377,4085
49256,83
41669,3708
51628,2096
46909,687
37785,2706
58515,1923
46182,3414
40105,812
54941,2098
39119,522
44103,1738
43659,3196
35633,3270
40088,3848
58706,3340
47090,2358
48957,2664
33790,3882
34593,1050
30347,1996
50415,3410
49184,1963
38499,1841
49164,1575
106940,1372
83928,1788
179994,3020
91255,1976
112908,1307
79133,2567
80630,1462
94522,1109
106888,2336
109687,974
82041,2754
120622,1674
103369,1795
118351,2648
120656,2033
81666,2767
86654,1923
148213,1801
138431,1623
104633,1590
85451,2500
82344,1839
102227,1464
92548,2776
104709,2655
80513,2505
226632,2591
75595,3159
94166,2860
91735,2448
92648,2414
82845,1987
93921,2246
86688,2133
95781,2979
102377,2434
82224,2415
75615,2236
87786,2361
88091,2418
92979,2694
121525,2566
98225,2559
77864,2551
99266,2554
171748,2295
Numero de fallos: 0,
