Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
860930,1279
200412,433
266178,2854
183369,186
178001,3175
194102,2677
152873,2821
148579,5124
165825,183
178043,5860
159815,1519
147901,3654
189699,3748
165201,5174
143894,3225
128952,2660
163789,4480
183851,1214
193243,2959
181250,191
159390,5237
149217,5272
237952,5347
227296,3252
163640,5093
189428,3370
169155,6306
185279,6020
235537,233
185655,4402
205166,8831
188228,6395
264138,140
196844,3542
149215,3324
239277,8368
186781,4195
182032,2617
141261,7610
196644,7645
175232,6220
202101,8276
179861,9667
187471,5847
130012,5250
165998,4144
137984,6490
168338,9355
184335,6854
185560,3323
224576,2455
217543,6745
96903,9009
82161,6818
82833,6044
68600,7110
157622,6853
97569,5414
77935,1151
64593,7069
87168,5582
123702,3864
148539,3835
92621,8720
99295,3070
76072793,5365
104959,91
130472,6170
71525,7822
131613,8356
100997,6859
102194,8092
130653,9198
70354,6659
107674,8380
92092,6083
79621,5690
73085,5640
70527,8624
75042,7741
88880,7327
119953,9377
90802,8666
116101,3895
93864,4626
106961,5433
122379,7654
113834,7918
113117,8045
105118,7153
93866,9047
105554,8640
96922,7408
126373,8881
101717,8731
83843,10257
69867,8481
104592,7699
97934,7790
98182,7385
118102,7649
100689,7121
101469,9234
105855,7581
158735,9414
126286,5114
110326,5075
75540,9709
83264,8394
85037,6567
99299,6221
120865,5699
142342,7332
84819,8199
97557,4649
249026,8534
122865,11270
81890,8795
92417,7995
69602,119
50110,10981
64865,6854
79320,9171
60460,6529
98754,9299
83977,9487
178457,6174
74943,8602
143265,7099
116626,6734
84433,10588
85328,9264
82636,8170
94926,10638
77349,10255
64211,9697
89334,11113
63381,9208
72403,11027
68334,464
60194,10244
84914,9113
91067,6962
57435,5612
123828,9118
75683,10675
65877,9884
82615,10363
63398,9123
82912,3796
98579,7279
80856,4904
82036,10614
61331,2455
66304,8597
80161,9939
96121,3214
60559,8422
104724,8542
57661,10149
85673,9751
53206,7504
91140,8976
49363,9478
47144,8009
73131,8344
102112,8331
67601,3984
88861,8744
58271,7881
94571,9967
72772,10064
106128,8797
49865,10340
96257,8912
98386,10217
83323,10261
65153,8604
116727,8627
87823,9566
60592,6732
107569,8424
111502,8646
55037,5408
84340,10372
53442,8672
105265,3692
69724,8375
61313,7469
56985,3819
64257,8793
76252,9752
99868,3602
85192,7099
93163,6807
49553,8335
108699,8373
95771,9979
46000,9546
51531,6466
84266,9399
101856,8188
109796,9065
103876,5015
71162,8982
82206,3715
108842,4517
59937,9325
105666,2626
83267,6156
71321,7312
82019,6252
74051,8498
66418,4053
52117,9043
101089,8820
76649,7869
89932,10265
103895,9938
130406,8762
66066,8782
50474,5901
77418,8393
78323,7112
67134,6416
72221,9940
58725,8646
85877,6616
103819,8773
102996,9098
104509,8376
87394,2624
52430,9503
87361,7697
101752,8085
83863,6488
104674,7905
82110,7099
55037,4413
60859,8208
58538,9012
65693,9547
105901,9011
57437,7442
94331,7700
86587,7173
80590,8659
95457,7933
88666,7953
79270,9461
89090,9911
86769,6811
82051,8124
63303,8796
86883,7663
51231,7915
59872,7796
81855,8163
74113,3819
59578,9062
110603,5400
108311,7347
56210,5746
73821,8024
105790,6156
47825,8124
125209,8498
80211,2733
73726,5377
75018,7631
71992,8488
61641,612
83736,8468
79024,8658
72528,7996
188823,7486
91946,5580
91797,7691
77636,8809
68662,6177
79644,5603
79708,4166
92993,3043
106779,5871
86828,7998
83620,5071
114445,7257
119907,5018
90707,3025
103359,8121
99170,4065
73656,1770
70177,7159
76466,7471
72512,6964
72254,4067
140522,6848
158948,5020
120146,5743
129553,6996
177074,3993
232145,2499
201066,2939
389526,2247
130049,3807
139536,3528
190646,7820
132464,2405
133148,3692
372109,2521
130623,3280
166015,6608
120199,6531
173713,6973
142486,7112
145527,7034
140800,6664
129624,7171
164929,6885
130337,7027
130131,3875
148765,4568
164178,3355
159163,2051
129794,4668
206103,5546
227354,6108
149603,5438
136366,5473
199362,2202
137966,4646
136978,6422
151661,4765
157362,4476
149333,4863
152457,2377
128866,6427
215813,4519
173438,3436
195492,2878
163325,3230
138571,4289
198487,5619
153175,3595
142847,4725
137285,6291
139777,3014
179398,4236
240862,5320
160241,3938
126423,4201
195854,6464
146693,4408
194598,4128
130128,4118
213519,5270
138838,6250
154645,4851
118889,5385
149700,3980
171617,3828
208720,3895
243307,5639
179268,4250
144208,5700
160034,3729
152016,4399
141013,4467
188119,5212
153703,3892
94164,3528
201804,5685
125194,5145
133029,6682
191738,5348
120810,5085
120609,4039
194020,5627
148349,4221
124248,5673
323435,4316
127416,5392
168310,4814
179520,4953
144401,5493
133312,5182
150434,4830
148508,5431
144154,4848
131109,5777
392770,5053
297956,4779
185694,5178
331188,5162
185633,5270
150796,5353
155456,5175
214086,5544
156853,5152
164923,5138
Numero de fallos: 0,
