Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
56901,106
53100,118
62360,116
41083,320
62024,345
46888,270
52319,3909
59092,4114
48149,2911
56303,4020
53837,3984
54496,4308
59776,1626
56521,3367
51759,1992
57853,3343
70520,2968
51723,4414
89048,3506
63655,928
53366,3394
60858,2744
55293,2880
74237,3798
47176,4714
45978,3880
61633,3779
33897,3544
62232,115
32543,4060
62916,1670
56236,3347
57309,4925
66066,2866
56886,4993
52882,5208
62477,4923
49668,4372
47996,114
35583,3800
37863,5720
58141,3532
55180,4270
27771,3884
37221,4531
60431,4721
53929,3228
41605,1152
56536,92
38558,4789
53515,2178
36047,4590
60269,2698
36971,3147
41181,5010
32664,3048
29480,5410
46863,4332
65159,4858
34733,4352
50029,4719
53775,5094
39927,4228
38341,4231
41497,2675
34739,4279
74764,4602
32092,1370
58426,1850
32643,4193
56664,4043
65323,1369
47603,4483
54138,2978
57117,3532
37685,4077
63469,3060
51009,3903
52878,339
60789,3358
38947,2224
62329,2799
61206,1668
42422,2017
77097,2164
47496,3757
51588,2575
64028,4386
67799,4111
48990,4317
58612,4230
56989,4159
41844,107
62925,6128
62588,5527
56065,5772
66913,4066
54699,6315
52154,6379
59385,6874
60171,6589
66967,3617
57936,6472
58741,6754
61118,5500
58511,2632
47719,7630
54010,6726
47394,7106
35763,104
49867,7865
42655,7755
49672,4826
39647,6138
85540,6491
37230,4767
42764,6618
56013,7562
48196,7283
42247,1860
55088,7327
53375,5688
43322,4707
61800,6051
43120,4538
61219,5409
58816,4723
45944,91
65589,7927
62686,6619
50479,7643
36876,5089
45882,7267
54665,3991
46260,5054
41357,2853
41738,6412
86448,5952
85642,4586
59907,6004
58816,6842
34389,5850
57122,5846
39021,5564
54227,5999
44433,95
56044,7122
64356,5969
55008,5671
59513,5060
54407,5245
58145,3560
51804,4857
46674,7545
54057,7049
57947,8570
62063,8471
62933,8966
50834,7863
56539,7798
59671,6659
54307,7211
99203,6498
100422,8403
44870,6937
41448,4399
55064,6116
59502,7237
53571,9142
58074,6620
36606,6902
86922,9494
38680,7285
59195,4570
55409,8003
53222,4859
52982,9100
81901,133
101870,5790
44215,1880
53201,9439
55674,8102
50750,4886
60713,6483
53236,6667
54715,9762
38315,8743
47508,9680
44704,6902
46053,8650
46503,7906
44302,6794
46330,7210
39869,8442
52687,5142
52224,10304
58090,8370
48902,8710
44193,9394
57104,9447
61127,7731
32530,5112
55396,8380
56650,5855
35752,6800
41486,7898
49902,7072
54389,9016
30725,1048
60901,7706
58361,7700
65915,2243
56021,9901
52376,6435
48942,9651
35180,9566
49050,4660
67726,7556
53044,8078
54241,9140
47930,6835
34588,8147
55121,6960
55230,9722
48564,10370
35113,2788
50582,6272
49597,130
46242,9310
49603,11370
35110,5470
38141,8560
30020,8951
48415,8448
30734,6978
52386,11114
36728,9303
44873,7777
34440,8082
27348,10050
30012,10640
36610,10687
44243,8722
30564,11019
32232,7893
54257,8834
34106,7443
37661,6832
32268,9496
41657,9744
47898,10920
45067,7072
43475,7551
32226,9336
47989,5884
34083,9406
32957,9147
46522,6362
53100,6806
33712,9101
26699,10024
58989,10299
46586,7860
62797,10092
76180,4764
39029,8767
136293,8738
97351,8335
74813,5911
103199,6832
85307,3111
95467,5732
128003,9103
108609,3568
96948,9703
96952,2728
95642,9343
90954,6439
143121,6927
113350,4719
131277,4093
83958,8974
99323,2255
103192,8537
113052,2526
81172,9695
102404,3735
80885,6399
112127,6992
101860,2574
101134,7787
85728,9435
98956,3260
116082,8552
111525,3584
61389,7719
135234,7853
101235,3631
149670,6068
100092,7516
84409,6880
166833,4542
103206,8339
93574,8790
112494,6244
111184,7256
103263,4088
87920,8792
112214,7386
82117,6180
102632,9404
72695,9133
101469,7959
101098,8180
111441,7371
119751,4328
127047,4199
105261,3583
93550,7620
154408,4931
119637,8339
108835,8548
118498,6807
127546,8108
100312,8155
243667,6214
154308,3995
89568,7959
115408,6329
88896,5768
110208,4643
83651,5742
95137,7371
104973,6052
672628,6443
81606,7795
91158,4590
93179,7010
110240,4679
95571,6718
101358,4766
94045,6431
133915,5917
98715,8261
85081,5591
100951,8846
95775,6259
116356,5663
117656,8184
134859,5150
125464,5401
95063,6272
120509,5319
59902,9107
105080,7209
72345,5017
103653,6331
85354,5142
105187,7030
100689,7826
115635,4965
103691,8321
117966,6203
60524,6174
175099,5871
100743,5380
107782,6205
88318,6370
127706,7588
156670,7100
136052,5719
93920,5768
144719,7341
85274,7353
111785,6950
109263,6543
115193,5762
110673,6820
110412,6445
74921,6363
154762,7235
69925,6168
110085,6531
98097,7062
106937,6713
80878,6726
114746,7932
131163,7030
81130,6440
80872,7015
89548,7284
141561,6434
109090,7199
110633,6562
86374,6488
119560,7053
114432,6773
120610,6683
150776,6638
106854,6807
Numero de fallos: 0,
