Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
69233,162
57321,729
60811,131
47682,826
50629,292
61498,199
64644,183
54685,3273
63355,1231
59651,2417
61270,467
52327,1466
61677,713
51531,4190
45429,108
57955,2907
54874,813
62206,98
45592,5415
57972,4502
39239,5608
63236,3696
40625,5508
48291,4457
82480,5963
95455,4924
53456,4903
66807,4071
50700,4068
75364,2494
56316,5658
35677,500
52119,3333
60356,4574
63818,4871
62988,1457
42413,4634
40655,3851
50442,4508
35631,3551
63393,2661
64185,3892
50523,4435
52118,5159
70469,3752
38924,4923
44431,4965
65899,5727
49743,5032
59429,5076
40171,2286
64419,5565
54133,5611
57672,4891
47274,3486
54392,3815
39669,4362
58262,2994
36853,5776
52705,103
54531,5082
43472,4762
62643,5186
50938,4013
52632,5085
36423,5023
56395,5914
39319,5261
70432,5073
54444,4514
59399,3938
61769,3517
39930,4346
69897,3934
61869,2322
57478,5740
56970,3990
53197,5633
60499,5359
43587,4897
63640,5630
57593,5111
51761,5842
68433,6264
57893,5216
61461,182
39837,6739
43847,91
62216,5407
44608,6104
54438,6851
41779,6727
47972,5984
45143,6662
67595,7282
19737,5652
37215,5335
43788,4304
59334,3925
33766,4561
56104,3433
31507,4702
52516,6006
58453,6539
86297,5467
43050,5580
47398,6420
54475,4516
51697,3306
49740,5365
50935,6052
58742,6215
34038,6794
53682,6015
54482,5461
46977,4831
39161,4572
63223,6534
54904,6627
58698,4504
74601,6543
56788,2028
46987,7425
87894,294
54749,5503
69002,4614
67575,6441
62208,6521
32522,5886
47591,7161
46762,5634
52007,5562
61738,4822
49475,5688
41572,6926
54468,5934
35178,2784
54290,4492
46743,6786
60702,6024
43026,3310
46118,6947
57640,5818
64027,4805
70520,1523
56649,6026
38741,5151
26396,5733
50682,7457
50066,5558
38846,5407
45594,1820
65137,3472
38421,6596
64371,5386
50802,7419
63082,6766
35216,6543
47151,6854
37848,6858
59032,6768
74839,2107
54572,5732
32500,6326
56699,6126
38823,6315
56912,7198
39733,5473
41164,6681
45221,2034
52044,5677
67403,6990
66583,5300
55898,7222
59090,7146
59802,6017
44456,6026
40658,4476
48592,7288
40562,6475
56919,6359
54298,6758
58380,5500
46456,3490
61795,6912
38358,6803
47355,5881
57910,7177
61192,6507
45790,1578
69132,7301
54563,6925
25733,6261
45566,6831
41291,6732
38310,5854
38881,2092
51292,4701
30422,6663
58633,5368
55457,5173
42431,6738
50313,5606
58862,6348
56856,7025
58074,430
59203,4959
68164,4720
60379,5852
53736,7092
45671,5635
56812,4562
53517,4276
43007,7850
49577,8771
50440,6850
50602,8592
67996,7759
60416,8316
64410,6650
53561,5968
54054,196
40569,7785
71046,5101
56672,7079
53230,6162
44327,7860
61461,3577
51766,5618
63355,5945
43956,5032
60177,5985
46415,6807
38934,5014
64009,6499
69042,4646
35968,4406
59625,7790
36825,5431
42752,7428
51857,5444
38806,2964
55745,8273
34221,7441
61759,7804
36410,6454
48828,5034
70698,7107
67145,7840
58623,6501
54374,3623
39903,7403
50395,8207
35283,7199
45052,4322
44275,5858
49430,7344
50958,7143
54227,6213
39625,8286
37048,7237
51749,6303
38042,1137
73916,2993
54098,3953
41407,6586
38262,7144
59826,3864
54094,3578
39528,4594
48601,4180
57713,1686
48409,2051
56971,6053
57813,4302
60885,7838
58741,2239
44044,167
48594,3823
37126,4974
52406,4494
36104,2132
55928,4323
40225,7244
49131,7708
47982,4617
54445,3971
50734,6166
63664,6376
37298,6514
47352,6433
39924,7279
54707,4561
54342,6185
30064,5225
37043,1134
44652,3134
37143,6721
41032,6306
31845,2992
35921,5742
36443,2868
34737,3920
43107,3951
56040,5626
42855,5622
59755,2611
27539,4170
41622,3638
59158,3222
48475,6492
60756,3589
84496,2680
387531,4391
75545,6020
158046,5534
151445,1719
151899,5623
119773,3880
109310,4403
127813,2453
107102,6702
114645,3715
118127,1747
97323,5908
74994,4907
78900,5675
146536,1527
116327,5508
124815,6168
105377,4611
132797,5619
105350,3154
100179,4155
94422,3602
209298,5335
120910,2785
287974,5664
108772,5635
96597,3419
79634,2967
200000,5784
131234,3924
97950,3034
150168,5347
127663,5827
121775,4828
140489,4830
116707,3917
168992,2467
173472,4087
109306,3455
77062,4441
106226,4491
158323,3335
112968,3752
114738,4604
94018,4683
117154,4728
121060,4664
143406,2897
128538,3639
140586,5012
141058,3895
160478,3947
92538,3634
134898,4191
110813,5056
134317,3668
140429,3648
96556,4291
142981,3771
71119,4703
121786,4747
90499,4583
100439,4540
63276,4096
125230,4261
155533,5165
110802,4491
112701,4163
68639,4239
265338,4751
145323,3943
120920,3940
91936,4442
121980,4168
109621,4307
124769,4787
94980,4377
112090,4712
141007,4187
109798,4812
91274,4583
125951,4562
94362,4458
167194,4401
96907,4357
116577,4567
91051,4254
Numero de fallos: 0,
