Tasks: 400,
Gap: 20,
Threads: 2,
Verificacion ns,Consulta ms
52269,114
44828,98
50206,91
49081,486
48598,96
42789,487
58551,124
47847,114
31201,198
43097,90
56667,748
44193,1284
46826,1722
47726,376
52722,1658
36317,132
35289,345
44569,1418
48007,1517
39581,1220
32741,837
49593,1597
57484,98
38429,735
47880,2184
45355,1605
44923,1496
50294,1222
29493,1210
38314,2022
59517,2028
49724,1570
39422,2607
53839,1514
36451,1727
46440,1012
44901,2306
52898,2500
50198,991
40543,226
48666,619
35754,1646
46129,1662
33174,1695
48591,1870
44739,2122
95575,946
55912,1087
46529,1154
40475,2103
51702,390
46633,1010
42228,2031
49187,1026
49536,2170
87441,166
43773,1367
57927,2186
36897,1902
48503,2395
41018,1494
43865,2114
57959,1494
59049,1808
38369,439
49572,2648
58964,118
124810,174
45293,2704
42376,88
47947,3828
36050,3335
48840,127
53945,4390
35549,2407
48357,4138
40240,1770
38161,3169
44930,4199
38166,3602
35866,2632
49432,4119
54929,2853
39402,690
54661,3710
41493,3734
48349,4070
42966,3398
47591,2256
45021,346
35528,3270
36524,3659
41861,2920
56057,2855
46415,2625
47994,3238
48960,1030
36436,2067
46683,151
47188,1302
42591,3833
38795,3238
47126,1856
53620,962
53215,2907
52225,2887
49972,82
52606,4696
16041002,4152
36688,4687
41232,3675
47412,5260
36895,3054
57054,5270
35561,3576
41830,5531
50802,4791
39079,3479
45083,86
38487,5640
50997,3918
38041,5031
43006,5606
70452,3035
33562,4151
63940,5988
40480,5039
44504,5013
51687,5387
41174,3454
39992,2914
38439,5204
38961,3778
53606,5199
49240,4729
31614,4350
52574,1539
63490,1235
67888,1392
43333,3184
36270,3894
35522,4806
47695,4271
56136,1157
51903,4826
34381,1610
40258,4449
48444,2026
51611,4602
49368,2953
30103,2794
32517,4328
34008,3468
38562,3971
44221,3413
36248,3352
48273,4896
40667,4368
40154,3598
37177,4745
35852,4656
39609,2878
38370,2160
31677,2622
52842,4007
34473,3994
35992,1761
42839,2080
45551,2373
43418,1831
38034,1162
36770,3475
50671,3864
54419,3402
46751,1167
50522,157
46038,2089
42409,3194
34756,3106
48506,3927
38866,362
46175,716
34853,4251
36095,3342
47637,2571
36473,4308
66295,2253
40908,3228
54849,534
32373,3688
52776,3427
49752,4887
60377,4248
41577,5041
38153,4439
51758,2639
57461,2400
48294,2286
48450,241
35505,1960
44217,5005
48844,4591
49076,2915
38449,4915
51137,4423
38228,4053
57798,5465
50555,4389
59384,5689
63956,5016
43860,3162
45321,5512
51227,230
35825,5950
31164,4274
51503,4854
62012,5732
58628,5434
33414,5470
50517,5866
37258,4767
37093,5314
39395,116
46971,4915
44655,5735
37711,6229
35212,4427
46271,6592
38319,6591
29789,6172
31547,3979
54382,4727
34263,5626
45834,5009
50395,5967
32004,4095
35880,5850
42142,6344
51018,1995
47884,5469
63134,5482
48035,6561
47129,6070
37787,6436
49683,4200
51630,6267
44689,4849
29933,3965
34290,6366
55751,2045
32714,5738
57876,5794
43693,5466
53433,5806
40258,6156
45166,4931
37923,5354
46475,5964
42083,4806
47576,3722
43523,5303
38415,5142
48150,5273
46275,5731
33829,3926
78893,4069
45950,5317
45215,5759
40534,4532
41093,3426
34193,1006
38466,2501
52823,4713
59143,5362
32225,3704
36869,3826
31201,530
50458,1414
35959,3900
38314,4443
27713,2666
34699,5128
40951,2582
34944,1903
34247,4914
48531,5366
39781,5352
48765,2898
65583,1586
32552,1629
46401,1274
59083,4796
45832,2162
48618,2704
54122,1131
48406,2987
29207,4187
30142,3350
51675,324
31370,2436
55222,3227
31233,3304
40273,3484
32570,5046
31513,3790
43494,3774
58045,4382
56993,3406
47966,4362
33331,4458
45646,4433
34817,4042
43925,2926
33504,4032
30316,4340
50095,254
39240,5218
48595,4713
38904,2029
41046,1832
35693,2758
33365,1631
59666,4389
49635,2638
56407,2982
34544,4696
74776,4011
48820,3071
46749,3458
40447,2670
39868,3282
32998,3798
52371,1073
51455,4316
49287,4352
36248,3113
37806,4224
38640,2042
41218,3302
38851,2675
48198,374
62805,4402
46107,1668
37258,1047
56537,3274
37270,803
39031,3012
57718,3110
41232,3490
45440,654
37994,1305
44186,3801
51767,1790
48309,709
38883,2321
36751,1940
68974,2678
161351,2572
94997,2708
96811,2929
99941,2196
96046,1435
82210,2302
103904,2431
97072,778
82070,2278
80030,1335
77206,1961
84242,3206
81712,1937
101265,1250
101769,2567
103439,3276
75194,3292
136606,2744
105160,2594
148453,2756
102664,2630
102899,1814
88586,2207
71620,2018
91516,2445
110823,2104
109030,2250
102264,2373
87520,2126
285748,2291
80928,2218
77791,2402
109734,2085
71042,2812
503129,2103
105829,2370
102347,2561
98502,2203
76247,2324
88405,2564
92544,2375
132784,2279
114438,2350
Numero de fallos: 0,
