Tasks: 400
Gap: 20
Threads: 8
Verificacion ns,Consulta ms
4682405,86
95232378,245
19702221,96
167774732,254
4547946,85
10691584,152
59374671,140
5332331,568
36660892,405
5066543,154
4855424,106
4855599,170
23972257,737
4709475,182
4540674,1259
4694323,851
63353516,167
74521425,671
74630585,154
11587450,652
3581880,341
3602007,91
11822412,87
7239443,1218
7762692,87
6302872,732
4588191,298
5475414,543
4881701,692
4484146,100
4445796,543
38305833,128
119796136,204
7806416,413
125058401,928
11684460,744
19747135,253
6178047,87
5693170,87
31609457,745
7765911,112
7760051,92
7430348,91
5029346,84
47982705,144
4598102,1130
11405349,1231
4755515,85
19956732,189
74284377,187
4342834,910
7689304,94
4522237,186
47567344,176
4531019,1155
4900747,90
63874267,681
121068300,200
4679385,1078
4605972,1105
10339657,1287
4831185,372
4781656,799
4745534,1018
4709413,88
143497669,904
15987032,116
4615067,512
4320622,1668
4848782,1369
5561495,185
4665086,996
7766225,626
5370444,848
195286239,297
7460066,141
89270126,177
165850481,420
5256051,88
35650685,126
27024389,2070
6889293,1950
87676830,1809
5991167,103
23032327,115
7698032,2127
4772413,104
12022279,2346
4754359,974
4921081,998
4750149,113
6126405,84
11491921,91
175809894,368
4534617,2349
4764197,1796
24001396,2538
59990359,210
75797689,2720
4672689,97
13055910,139
4618715,3030
41190258,139
117280639,2188
7767409,337
357308579,2206
7102478,1888
4498799,2579
29827617,3662
51640174,2444
229671565,3617
4877753,288
33731057,1302
16400260,1639
11706432,128
11943918,128
4738377,1373
4820205,2607
6074959,1580
7232452,1631
4460005,1132
11725797,1608
4465123,1059
9635954,1868
4816998,1132
4595531,866
4605028,110
4497010,477
4870520,102
4731782,90
6208005,1233
4848980,189
4762766,1493
17219330,1553
4653590,100
12683539,378
248180478,1361
5164978,102
19245175,1002
9102718,1481
4596556,1020
4646953,972
19978777,2217
4601590,1168
7743087,150
4480779,574
4498551,1919
7473050,83
6225025,89
229191250,1855
18014115,2641
4425912,1140
25209615,2012
5579586,1631
9886910,757
5483898,2784
7775006,1299
4408679,98
51707606,2089
193743611,279
4780865,301
11708145,89
6545986,2247
223604872,300
20986422,142
4520361,2628
4623529,1192
7982530,288
4727055,96
4373672,109
139606929,2759
4694953,1544
4611544,1949
4709416,190
4525977,856
191600769,2639
101672300,198
4569546,1631
13218776,1847
19151319,416
11724324,88
11843835,971
4703198,828
4476872,326
7729634,139
4677366,1761
11728084,567
15631886,164
117595022,213
59785906,693
7564173,667
4941848,87
4452661,103
4432897,96
4944439,132
4504177,1660
7958419,1682
17349748,871
190233342,375
175404607,2752
11745514,1527
4775130,393
4709875,1604
179765618,1906
4865806,2016
7695904,828
23636940,157
15978935,156
4908157,2166
4797843,510
4711485,2325
8929575,1616
7974345,1920
243291311,324
45089812,144
184828204,390
181625807,2652
11956160,198
4867570,105
59093455,179
11558386,2339
4429010,85
7100274,181
92366269,185
4402078,1962
4478615,1012
15591051,1423
7688793,2181
227432003,1624
67954614,160
57493151,167
4765547,716
4597966,1149
7754663,286
4712954,90
19656421,101
4707091,992
11625558,1335
7742232,2501
34339849,3110
4837328,2748
4909884,99
35768415,1910
8373180,98
207530624,1252
4652796,104
79435874,1382
4650162,412
27978823,193
11968481,269
52781838,2304
52625051,1282
63995370,556
103607940,1913
9269977,1946
7742833,446
11520252,2648
5037423,156
62501007,2608
91529179,1724
366642048,2703
171740961,2925
16078672,116
15761855,1846
51682163,132
5354609,221
7713711,1890
4542663,477
4546887,2154
15846253,1712
6827452,86
7455579,1625
11894257,1177
7880331,2070
10542481,955
4712217,121
265192080,1904
4824511,652
7685698,845
4454745,92
7696016,486
4518886,539
122297852,2171
11206084,708
4359562,117
4792133,607
83676056,1312
215634077,569
11989131,94
32001707,762
4628274,84
95488862,1248
23812836,103
7970716,1776
15760637,2216
4619265,424
4512984,467
4745447,95
6707959,103
194851992,302
235024167,686
11808017,1955
5445720,92
5323534,195
4998386,330
4771433,1635
161142208,242
9415479,97
11001352,117
7746222,240
7942463,123
129999718,218
15971765,1976
4794722,1336
4791699,92
4647353,1691
7748113,781
7542873,193
4554239,1711
5192706,525
6111067,90
6037791,2100
4857168,2324
11006826,1548
27748472,1009
4618809,184
4631344,1505
4386676,158
89291789,201
7709960,1328
7690384,102
5576589,92
13842076,940
5654494,2052
4589619,139
7901915,644
5458684,1028
4429987,106
4619386,117
11978571,2486
4632013,97
4393829,984
4515999,1360
6130689,774
14085002,1016
40109704,2331
19987792,105
4385565,630
4493176,2426
8847252,460
4544019,1308
11747510,1308
4954155,1791
4722119,109
5430387,1986
6989360,85
5767883,86
4568854,94
4691710,929
4600821,85
4520903,1647
7283192,1348
4853445,2421
7496203,606
5726402,90
7284036,1871
4613658,1984
10155209,1904
13399723,346
6652239,1358
4956758,114
4955957,480
4281092,448
4478918,577
4251422,187
4453213,699
4808972,295
4404680,580
5066414,528
4546654,481
4311613,120
4493095,157
4512179,1076
4548289,988
4660176,472
4509838,650
4396156,1045
7100797,1141
4531454,680
4363533,276
5121694,278
4478705,773
4416370,361
5119514,488
5381902,430
4479174,211
4444745,417
4352613,415
4429588,153
4417091,248
Numero de fallos: 0
