Tasks: 400
Gap: 20
Threads: 8
Verificacion ns,Consulta ms
4585348,93
5364121,97
4460971,89
3479503,78
155982756,248
7540282,87
60904630,148
27970934,117
39991918,122
4546580,86
4532508,489
11488554,708
11760186,94
4451106,173
8331969,1288
152788958,867
4827483,85
7509040,1814
4357745,1280
7460215,111
143338825,2021
4752069,1742
197720950,291
7702790,1085
7486789,657
93359315,494
4506596,1190
16218849,197
4446041,1638
4379187,2361
15123779,99
97518870,1346
4196235,1105
4254280,1902
4278108,878
11983310,1413
11972625,2259
19985321,1203
4217569,1788
47774173,1708
4867570,961
121756069,217
4862886,2233
6104263,97
11969704,1986
4381182,1992
11976996,105
183721397,1712
28165731,2652
4611608,2165
4611051,1798
6077385,351
7456244,152
4199812,1389
41350499,125
4381501,83
4215192,2009
4425130,859
4302754,1529
26608644,354
4332473,101
11995965,442
4700550,1224
4335052,457
141769824,263
178309304,441
4518447,881
4534282,1040
43011596,1841
15479704,100
15686876,101
7600502,89
11963880,101
8022618,238
134870328,235
7784344,117
19621956,1038
4622898,721
183988315,1458
16284988,119
4305110,1740
67722630,359
64280254,1334
53941232,252
112149986,2251
63780312,1161
170219339,255
15985992,1267
4699146,905
16648260,187
29848052,1414
23613674,111
9507492,1555
4531106,1645
15717146,1131
173365975,271
7587665,906
35630826,459
4556201,593
4570132,1885
4367015,85
195545014,1337
4591388,1533
7644747,884
79708060,175
4555529,86
9610589,2370
41508903,129
4422259,1598
4443340,93
7667800,93
129430198,242
89570887,1641
23703314,1568
4301016,2239
4612359,495
4460584,1186
11557949,165
7800718,93
4426526,2471
11975377,106
4674522,2268
4449542,82
4264764,2749
15972701,2260
95457536,2521
7587843,282
159361457,2741
139467027,2821
4307661,158
95730205,2153
5424650,2385
7724007,83
15869176,662
4405865,1256
87981299,1721
4573234,1704
4307020,1134
4500831,1901
14143182,1953
12999066,2842
55962217,169
137150880,240
4641519,965
185525314,294
4718878,133
16211339,114
4464814,1291
4476370,93
12354752,1074
38300763,123
131690083,214
4535121,2329
4385826,3961
11995207,901
4369880,2368
7683018,3674
4339385,4174
6725984,2912
5656438,3714
4403099,3982
13082004,2481
7774893,1819
23978843,2545
4387244,2934
7948699,3829
4307726,1226
56153863,744
15913644,118
7971295,3825
4385600,1495
11979776,447
7948864,1968
4280284,2016
4333256,101
192029886,514
40107192,131
223985690,1289
156812370,1334
4424667,1886
4437828,2265
4318612,1279
4794432,2953
4267358,404
11970468,117
6126496,1914
15634500,2235
11457697,1529
111648446,2515
23617246,2138
4778037,952
27461428,1630
27766931,1940
7971593,97
10713049,1255
8857551,736
8525018,1244
14753323,434
15966981,1217
15979817,1462
4398015,1228
4220477,1909
4823785,710
69180052,154
4567147,2045
167485376,1821
173841524,1445
172062608,2343
4648473,997
5641454,94
4301779,1475
4555911,501
155661450,1540
31626057,133
32273232,1883
4687636,86
215772743,1681
11665135,93
49179413,2200
15601445,177
4393970,85
43977249,147
31579114,323
309302397,473
4214499,233
39987932,169
4479702,94
4490347,1276
4406693,1368
4294304,98
4390963,1525
187792010,365
7988388,113
94667663,230
16659249,2193
4340908,1804
4804936,1895
177252372,1602
23997969,138
4687111,1866
4442408,2008
4486261,2163
11745627,2134
110087962,202
4309030,2241
4330839,573
4558924,853
4432295,90
4909231,1612
9378128,2121
177104804,1614
50751381,193
5094479,2129
12234595,97
4557968,2148
7977598,1996
22869646,116
4221500,2409
95750376,183
7648409,492
4523470,2227
5898398,1766
11600779,1194
4656213,87
5888407,87
7037331,88
43649260,1119
103929121,1981
103201129,1465
4345278,686
11882862,1693
5144939,451
15982838,294
4529472,93
44983061,139
94678325,181
154857929,1823
5102278,2053
4388486,2068
221740831,673
135619954,225
139732592,2438
59675524,141
4472372,105
7596605,2143
164575079,248
212328590,302
11946390,107
134336748,1565
319670660,2243
263989777,486
4518508,121
4564347,2132
91772510,1242
13929257,147
4622922,2093
4812048,1052
4397946,86
4587285,88
5514008,89
176109369,264
4383370,100
31832537,2275
11431915,1755
15688099,509
15747889,95
11967228,101
4377717,2031
8908631,3589
7807632,3954
4838048,2573
15700611,1611
4444963,3575
4480822,3614
4423416,87
15466962,114
4274435,98
4808700,1500
139556503,3810
11969011,2425
19428301,1851
95649856,2581
4442980,3158
7607258,2517
11973376,134
23969683,1859
4744474,1874
4366628,2211
67626981,2093
5545351,1289
4479623,2236
4822935,1781
24410087,128
183240934,2255
4295745,1424
130847216,255
4484121,1665
19701648,893
8994109,2002
10681088,609
5053372,2604
4724376,238
7615368,1592
4383709,1030
6754439,1777
4392761,1992
7698559,1188
11611025,230
5370824,2525
36761075,1800
63812395,1821
79759453,885
4651533,1674
4655361,93
4508073,109
4202039,407
7955140,108
4165924,1085
13886751,821
4323783,141
17992876,174
4420655,1212
4552983,572
4320725,1380
4402625,1224
4320834,92
6081338,851
7257114,97
9586003,93
8347744,1143
8495172,1140
4707299,138
4218918,715
12898030,110
4047988,864
8037658,237
6924937,353
4218741,802
6091092,85
7244974,513
4136664,840
5561481,89
4561454,308
5386447,217
4219250,160
5413999,510
5378110,87
6885709,491
4673162,428
6788138,200
4679048,252
4315731,79
4258612,81
4485981,265
4346131,313
4428103,298
4549947,382
4166900,192
5499747,90
5357139,85
Numero de fallos: 0
