Tasks: 400
Gap: 20
Threads: 8
Verificacion ns,Consulta ms
4894305,110
49142359,269
31978395,127
112133080,200
23974676,137
11972293,137
4635849,429
4462456,954
4484579,708
6164160,82
11818077,95
104350438,1056
79987124,204
4699003,375
30111162,226
4599365,1641
4500249,312
11972120,538
63437071,159
4573882,1710
4810721,1080
4514751,667
7257511,93
4490017,93
175740283,1008
11231010,88
11664105,1337
120192830,2279
34679185,1401
7809362,91
107561657,376
4862892,1108
4505853,1420
10120113,238
4414060,214
7961965,272
4757131,1122
42822510,134
7586350,84
7715489,86
243842029,984
4375307,1679
15746399,2044
8456332,1801
4591986,2299
31977555,2131
85449325,186
32575279,1238
4535490,95
19988850,2444
7974686,1321
4555632,2891
41077102,1183
7968900,92
17660770,111
4803992,2551
5131670,87
4647237,2401
7627163,2658
4650328,640
4705629,2186
7635727,973
11934712,2168
11634910,98
99843412,2236
4448936,797
4733291,289
4497911,2263
11378996,2296
6226046,396
4673569,84
7982575,91
7727005,97
19746482,2696
29934741,114
4551911,90
7762648,2155
4511992,88
4584699,2805
11759190,1538
93873470,1510
14468331,387
7830339,2005
4581838,1663
131634138,210
4574483,1605
111711832,3007
7703756,690
77683474,972
4780978,2147
4604207,2231
7980758,316
17964717,1700
4605733,95
27514781,1556
4931436,2411
43967929,155
4747408,1272
4549147,2468
11788247,917
19033367,1441
19978066,1370
4817166,96
4453660,1803
4458221,1496
4638775,607
7506800,150
4953980,3014
4606602,1592
115542140,211
143156052,2244
19940514,676
38262185,747
5146042,2284
75905649,187
4319771,90
4560259,714
94810373,1312
13188772,2402
188453683,1925
4650516,2799
7796782,2551
4739982,1068
4568733,1284
23980384,2848
98506585,610
4612353,99
21010239,1492
4716656,2778
7745410,108
4789093,104
4735611,1171
4409378,204
7585479,1007
7991484,1584
91626635,884
104383283,1452
6584948,2191
12836989,2339
31613755,137
4540347,845
4560335,88
5856268,179
11981434,109
4437063,2695
199711023,2615
15848660,2120
223655385,2154
19549755,1848
4472121,1087
4445238,1924
8493303,2715
4445987,1940
4486960,1997
6427627,2049
9233342,190
4453712,1908
4603870,1101
4420957,1042
4647477,270
12511374,589
18522915,1530
15623577,1931
79996460,343
11742761,1348
39501908,120
11672857,134
133418021,330
10428717,99
8317566,92
4491554,1098
57652166,145
4671969,1606
21671772,2137
4472083,89
11672712,1124
4598824,2314
4418193,3030
15602957,104
15778697,2078
4486599,2536
4733128,1782
11744199,89
5579343,1973
27793526,122
35583740,1015
17855326,2043
18462043,1403
4569085,1712
5985710,2014
4553110,883
5981674,1293
4495353,1008
27977861,578
10779550,2755
4440713,1058
9371332,99
26369272,102
4746724,106
216489692,334
7743171,155
215982272,2719
4625563,106
11734125,1804
341866699,2404
7784359,3200
99850520,299
4903807,97
15915413,2125
4618883,2866
4633802,2262
32142268,1414
24174289,3696
15398584,1076
135702170,1402
249888936,455
185181135,3202
7975923,1594
143696165,1717
204562173,458
5779487,3489
47807765,197
59479163,2262
25406730,1386
7641967,2102
337285657,2375
4635140,1805
158946252,2164
11802877,2413
4588131,83
245110314,336
11787031,1539
23969962,3171
4708595,243
105472069,205
11965709,176
7550039,96
15031695,3072
8146696,88
50581642,139
4733868,3651
4368314,992
4648891,439
4459335,2100
18984051,1942
149337411,3149
19769234,3008
27732278,111
4660576,208
174302823,2702
25733982,117
4659701,2926
8873263,1427
63826833,1975
6359176,115
91649447,1346
4620619,842
5364524,612
45113879,170
5946056,3026
7247903,3363
159690312,330
184014151,300
7699462,2539
4780875,2849
12835677,253
12370692,315
6424896,96
7985149,3375
86447398,2492
155891355,247
4702929,1988
4628534,1389
4805834,1004
121243884,206
9534193,3231
5005036,86
4480349,88
4617544,2092
115291791,208
49840715,141
7719022,2044
62210773,2033
15739783,272
44504370,145
171662835,1752
9159752,102
11964025,177
143603637,260
4516305,1061
4412894,2492
4851596,2752
4567409,2520
4524372,96
240715612,2913
5001527,119
4374131,2905
4441023,2230
243999429,732
4688145,2164
219725481,2258
4771097,2854
19994944,2872
4635557,2537
11981093,174
4631785,494
7969995,2533
11609157,2396
11653787,490
8997576,2691
4589221,96
94598924,2408
4825372,1983
4644039,1906
5796348,1719
4446611,2299
145347900,2032
4588177,3391
4378794,3400
8995080,2540
7989726,2794
160009442,243
43982853,144
4774065,2539
91489790,3438
4487462,157
95493372,3326
4355613,3038
11641791,2167
91700644,266
7411874,581
5010304,407
6037302,3331
4694160,2490
7483597,3475
6114542,1202
4242687,2478
7808443,1656
7113091,93
5889950,2630
4616355,1378
6077931,385
4513239,1136
5023346,2808
4895363,95
4684089,2244
4369214,1560
4596258,1741
7148282,100
4679207,88
4564286,3156
4711456,439
4631338,2345
4535782,1593
5716977,2660
7030023,624
8294568,113
4788877,1555
4784364,95
4314709,704
12074616,558
4639200,1308
5101465,409
4571532,98
47773725,2172
4521823,408
4639877,908
4216427,380
4275321,598
4229303,89
4473272,658
4580125,322
4493613,1849
4657988,845
4370923,865
4342528,1749
5865407,158
4609670,796
4408264,1184
4362343,465
4222545,708
4449758,1043
4519136,1323
5822024,245
7078824,1760
4486025,336
4725424,992
6186596,218
4650444,553
4927259,86
4499082,729
4380260,466
7094582,491
4244225,420
4525525,343
4384405,357
4314479,362
6136399,420
5288673,437
4510728,365
Numero de fallos: 0
