Tasks: 200
Gap: 40
Threads: 2
Verificacion ns,Consulta ms
4450267,82
4519317,96
7628162,588
4507547,524
4287323,721
4489964,85
4372366,536
7791059,95
26765585,537
4406663,92
14304528,208
52731412,182
4405399,141
4377625,1860
55608110,1774
4307891,1884
4458706,2000
39765497,712
115984507,1989
4588089,2216
4582734,1476
4364831,92
4353712,1588
4670701,672
4225780,944
4453406,221
44887124,1044
15949547,125
4169833,1668
4509898,911
4165943,1141
5126854,136
116829140,1760
21448388,770
4555713,826
5189530,521
30400541,1526
11983679,619
4291966,1049
4418400,1088
4375591,740
4341163,1758
68906975,675
4439723,1177
4415530,1658
4382190,92
4886857,1257
5317651,1495
4407353,1092
4342995,1965
4995491,2073
4550188,873
4526870,1824
4468061,2080
4671368,1644
51634213,1679
4440101,1300
19610823,2284
4540512,2017
4425145,1016
17255615,1999
4291004,1325
4286960,1593
4182102,2104
4282925,1866
4212569,1680
4427986,2128
5459299,1415
5493781,1455
4786046,2542
4400797,2012
26455082,175
4779847,235
73209127,219
20926596,132
4221870,92
42333703,432
4405753,1288
4400400,2775
40741055,2388
4321150,1824
4324755,1085
4269733,1183
4241696,1388
6988051,1280
47449449,2693
9090872,673
4395674,2079
4257794,364
18072419,1582
4710924,2771
4293732,2688
11467704,801
5545182,1667
4328481,1852
4353333,3093
4305907,1885
4228604,1396
4860067,2941
7719188,152
4529706,2142
7590238,4301
4448176,2096
4333791,1843
4586414,2737
4852811,2813
4397842,2897
213947993,4407
4766165,4508
4549918,3285
9849512,4083
13329627,3972
140508158,4723
4797119,3897
4431400,4153
7718193,2211
4605629,4118
4351353,3848
8602662,3147
55767586,3841
9193358,3937
4386184,3593
4169361,3902
5875991,4202
4733477,3443
4780995,3496
85367255,176
64074272,4452
40112982,4752
7089998,3394
6318629,3982
4574297,4499
4354328,964
4465958,2233
4364270,3704
4341693,4004
7977397,3440
4545423,2493
4545610,2976
6823569,2165
5731761,3660
4327854,1248
4549271,3393
6288515,3609
6277117,3112
4375086,4066
4425606,2448
6407038,2653
6170064,1021
4680785,3507
4677791,3338
6236552,3595
5916806,2239
8548116,3144
8498384,2539
12217068,1980
12246666,3337
9288941,2536
8499241,3070
12361102,1605
12428027,1565
8203924,2820
8272850,3267
12346326,1536
12342507,2037
10141377,1478
13688465,2856
10102176,1296
11947403,1595
17644337,1989
20119083,1446
9624451,1928
12047606,2452
8367855,2332
12488245,1977
8627622,1510
9328481,1844
12440182,2366
8070892,2168
8709555,2309
12296525,2604
8728451,2400
9551503,2205
12404943,2106
8338928,2747
8993197,2733
12333528,2784
8313226,2530
8623611,2536
15371741,2682
8775689,2468
12778666,2364
10682515,2416
8224231,2941
8160917,2682
9105142,2819
18016473,2436
9852066,2655
12975976,2611
9397918,2699
Numero de fallos: 0
