Tasks: 200,
Gap: 40,
Threads: 8,
Verificacion ns,Consulta ms
48043,118
51372,92
37052,103
31466,115
38930,100
42357,99
50144,98
37935,98
51826,100
58575,87
48924,83
43799,264
39918,114
60728,103
83465,221
20414,128
58815,99
46767,95
56103,548
32760,89
33804,124
50444,472
43046,152
40755,208
36782,99
30983,85
50306,498
44266,89
46887,114
81585,99
31591,137
44796,149
43068,83
52155,579
36082,195
40255,308
52464,359
60152,94
34002,91
37697,110
27376,99
39697,86
37799,88
52233,155
47669,95
44428,136
49153,95
55465,107
46334,101
39331,95
42434,97
53126,189
46391,95
39531,91
46932,85
41655,619
51844,109
5676744,212
43335,95
30755,248
38215,190
27467,169
37328,309
46098,571
29412,93
46003,113
48667,211
56361,1102
30913,861
46908,822
54377,519
48384,102
31573,140
34098,85
28656,809
42034,477
50155,100
30889,83
44460,839
52534,411
44292,173
48910,115
39335,105
32761,125
46992,175
36478,151
34806,99
42367,143
38865,126
52599,491
34164,1185
42426,83
38111,140
39975,96
37110,527
38309,95
48482,133
38761,404
48015,153
52927,124
49557,95
74218,707
30244,87
33698,90
51262,1124
36578,502
42049,82
31124,86
31894,1110
38185,653
54323,184
45867,161
51300,113
55251,487
28576,90
46002,963
43444,141
54796,95
46998,1683
34193,95
35349,699
30327,695
36765,88
29350,1230
28933,1462
37885,175
49098,108
42657,93
29398,262
35817,1081
39997,90
26251,90
30587,91
38388,115
38245,401
46065,98
38381,844
48716,898
52190,99
52695,127
28893147,231
50675,95
43239,1176
52392,83
39474,262
44808,140
51136,287
55533,723
46392,347
62522,1239
49849,106
48572,349
34572,107
87105,225
48171,103
36241,107
38994,996
49854,559
49848,95
34812,82
29798,99
47654,708
40721,99
34852,382
46054,1192
29678,763
59604,569
40304,171
48308,415
33757,611
31290,91
29478,93
43411,457
28563,95
29230,150
47135,163
59535,214
39636,181
46749,91
43676,333
47224,88
48679,577
43200,110
41440,91
47911,308
36579,85
42791,98
27246,87
39698,522
45321,267
31093,86
56543,146
31699,89
32646,213
35730,81
30536,84
46734,83
31518,226
45946,87
57319,83
Numero de fallos: 0,
