Tasks: 200,
Gap: 40,
Threads: 8,
Verificacion ns,Consulta ms
50726,91
48871,81
60961,94
34913,207
41678,97
40974,121
137888,110
44420,254
47354,99
45864,100
53752,84
31908,94
51957,196
42050,99
44828,876
46989,96
48079,106
45859,99
39465,164
41023,1182
47302,113
39684,813
63735,140
46365,105
40392,108
45036,108
45309,179
47145,90
43303,82
29829,89
48991,419
52433,176
40537,197
39798,361
43105,100
35419,589
59571,211
67560,259
45403,93
48845,91
92989,162
40118,87
31140,101
27994,308
45995,160
47430,763
42679,179
40914,499
43983,146
44155,1029
46252,133
41526,97
35846,134
39703,91
30800,81
49946,261
34957,587
52249,155
25140,281
41605,349
33335,95
44630,110
46446,95
49074,91
53595,110
36885,81
35426,106
34294,405
58615,136
63558,97
43084,108
50739,177
48633,88
47012,113
50458,101
39923,155
45664,123
33088,127
31162,90
47989,636
79572,95
63955,224
41112,164
49613,359
35934,103
34916,149
41501,99
31167,103
40956,534
32017,1148
31930,595
47799,172
63976,154
30803,285
52799,162
31207,392
51813,504
49372,82
51485,82
50616,92
35074,170
30573,174
52762,534
30832,348
43328,119
43638,777
44711,223
55204,154
49262,103
50430,106
45653,103
50719,453
35514,105
49616,120
63596,977
37408,507
24491,221
39651,133
55371,743
37688,296
46652,85
43110,270
50516,143
45956,708
51438,704
38104,91
38857,633
40646,95
41392,677
42363,175
49400,109
43178,114
41348,198
35606,146
48497,316
75901,116
37520,89
43337,1270
39356,743
6420,83
36483,86
30322,110
32761,151
44186,1213
31082,127
48128,129
33960,134
30872,819
51374,969
35424,87
32495,130
35460,871
35302,230
49150,95
44701,516
36489,106
30423,111
45585,88
31830,83
50519,223
28916,91
39457,103
43374,129
40903,869
44954,1239
42699,419
56185,209
41721,950
39100,147
40405,199
52353,95
33849,99
41045,90
50049,107
48981,88
52364,1041
33631,528
37388,87
49771,560
35331,94
35701,432
44409,83
34578,92
33757,723
38961,89
32086,83
39015,85
31099,215
28117,97
33288,86
32525,212
33091,274
42260,81
49430,83
33930,421
40824,335
43740,83
31942,86
43160,171
55728,85
Numero de fallos: 0,
