Tasks: 200,
Gap: 40,
Threads: 8,
Verificacion ns,Consulta ms
88165,104
36500,112
43885,100
41585,120
67254,163
37741,116
42487,103
38490,84
53288,104
51513,93
36511,93
44423,96
51002,105
30825,105
43076,93
49788,169
45319,102
43972,283
51080,91
34136,84
36884,115
49520,83
36638,103
51245,111
60423,101
33384,185
49926,97
33318,110
49818,97
50076,457
48398,91
28053,87
37826,221
36614,139
39261,197
41036,518
39533,323
48970,108
33005,101
33865,97
38568,345
28887,87
31176,102
46300,411
47768,95
51742,156
48282,795
52879,597
33154,693
56202,579
41942,91
31453,852
54649,1055
36963,133
31938,625
37886,112
62095,99
52981,99
48777,320
37232,89
49546,158
41860,187
41285,183
53443,421
48364,1102
38597,1523
44124,677
35995,93
48639,569
27954,113
46251,89
37160,247
41371,882
50618,109
47234,137
43582,95
48918,100
37712,196
1,360
52408,536
47294,85
31971,89
56673,125
32452,425
36055,85
54688,715
85687,147
40914,645
49591,890
52953,757
33743,145
32706,92
43050,783
73489,140
53931,1029
30630,141
52602,115
53119,100
44478,401
52998,91
35120,92
54601,139
58266,89
41041,125
35172,87
50296,251
43116,143
49194,459
45413,163
48093,712
54015,300
38094,581
49041,344
52674,186
32843,111
49977,136
33204,598
40033,2159
34617,213
49097,1188
39966,195
49495,1601
49995,682
39686,129
59556,109
41225,91
85472,1318
60635,448
49830,1217
56815,96
44250,875
1953498,84
58876,645
32958,96
44573,95
39746,98
46858,1791
31512,87
37959,2565
49963,2131
29382,2510
41172,1673
32375,2528
35248,101
39684,1039
30235,95
36191,673
31561,1199
27315,617
28409,1543
35499,177
35750,1587
32662,828
29546,943
29354,874
41643,109
35420,1696
40476,560
36955,230
45459,647
45947,1859
50498,907
47789,95
49812,87
33407,846
61836,188
34724,97
33284,299
56962,891
45548,542
39991,126
32076,651
32598,98
33170,98
42506,289
40717,271
37723,91
41202,84
50433,120
33821,82
34641,88
24312,483
31238,86
41180,957
33068,191
28348,309
32316,774
34560,661
31772,693
42118,255
33650,314
30323,255
36949,506
34340,232
31237,156
34729,81
42547,97
34886,84
37098,223
32535,86
Numero de fallos: 0,
