Tasks: 200,
Gap: 40,
Threads: 8,
Verificacion ns,Consulta ms
41688,86
51899,126
49627,168
37967,119
35622,287
62727,167
34140,137
51095,149
42179,105
33096,283
36767,112
55595,84
35487,91
38550,89
40642,388
39900,124
41251,100
46426,153
49872,139
50957,99
47678,144
51503,91
38588,583
57249,96
49328,218
54226,248
54323,330
38171,500
44790,99
43545,100
46147,179
87240,227
39946,138
34284,499
31812,130
32156,117
31743,311
40235,167
49866,291
7950,156
27169,87
34819,95
51754,83
44178,83
50995,83
37197,99
36142,96
56983,296
41825,95
53485,93
34817,384
38774,99
36073,495
33615,180
44702,515
51996,101
38056,131
33245,480
47949,121
32655,853
32797,97
51085,190
36183,99
33877,95
46980,95
31491,693
40961,110
47845,393
51535,448
48512,131
55330,883
42711,469
37183,93
47079,91
45429,117
56170,105
47850,99
38571,131
36062,667
42823,99
47298,926
54477,119
29100,118
43401,315
33064,93
46326,419
33481,86
48096,171
49042,119
32746,140
43493,591
44959,585
35970,217
35182,96
33653,697
47478,675
54081,91
30777,99
47614,115
42423,588
48313,171
43613,116
41993,228
52799,432
38521,636
48443,95
35454,324
38858,389
50457,113
40858,548
52203,159
50015,96
34192,426
28180,86
40695,91
40732,301
32493,153
35838,259
46254,95
57847,608
50425,95
33493,103
45937,399
41367,188
36001,95
43905,96
48090,91
51502,88
44744,102
45808,145
47189,142
42889,551
62832,435
58719,104
39873,95
64127,96
43866,252
41780,97
52738,91
31975,583
47283,247
87346,251
47125,91
45005,97
46723,499
47237,85
49563,942
52304,1217
57489,124
44782,248
53194,1709
48112,1793
54129,1867
27025,104
31557,1622
45613,83
49178,1709
32275,175
47834,115
54708,1299
43229,99
51193,497
39289,407
34853,580
57704,95
42970,95
40292,1044
40036,101
38001,130
31181,148
36278,324
58103,304
41062,1302
37044,111
49514,159
43854,107
45160,494
52533,104
48757,99
33638,91
32277,83
51751,86
33243,359
31267,105
58045,144
31504,83
37786,112
60857,87
37390,488
43014,631
47500,83
10768,345
63408,82
49514,358
53479,87
35402,215
56010,84
58853,91
36700,82
53907,82
Numero de fallos: 0,
