Tasks: 80,
Gap: 100,
Threads: 2,
Verificacion ns,Consulta ms
52648,80
42544,82
48152,355
32017,90
40493,307
58393,333
43227,82
59950,256
40192,321
44450,205
41830,170
41371,81
39831,127
45124,80
50604,81
43275,80
45770,87
31671,82
47123,82
43735,88
43516,81
44985,179
38055,82
49154,84
32211,84
43991,80
49936,81
32779,118
51759,87
38120,80
32487,97
48000,83
32052,86
50662,103
31875,85
41292,79
52736,79
49327,89
90156,128
120439,89
214948,85
74502,96
40078,91
45628,81
37922,186
30540,81
47004,84
41292,80
45079,81
33877,81
47150,82
48788,80
56303,84
43522,204
35420,81
49555,163
31075,88
39943,82
42748,86
47635,80
47141,83
61414,81
48796,85
44048,79
48390,79
50142,80
47692,82
33024,82
32175,81
36829,91
39227,99
44515,82
38210,87
42666,177
47894,83
60742,82
33845,81
41002,80
37916,84
31359,83
Numero de fallos: 0,
