Tasks: 80,
Gap: 100,
Threads: 2,
Verificacion ns,Consulta ms
90834,93
147444,98
45918,94
39133,90
49571,451
36406,83
43700,325
34634,82
44629,367
73823,112
32352,253
29022,91
57122,446
35155,426
47899,404
39890,286
41334,297
34191,344
37303,239
30242,260
38065,282
34720,93
32173,94
46512,82
37221,126
38614,82
57371,92
48751,82
51081,86
40527,83
30200,91
54792,143
43867,82
42350,80
52434,81
35217,83
51972,198
40935,83
53131,83
39379,83
61483,82
33394,87
45024,81
56108,133
46398,126
41490,81
72539,82
42277,81
44548,83
77261,98
60506,98
94875,521
42146,86
41224,138
46889,89
34254,175
47761,87
77715,251
43210,83
31517,94
38192,190
47032,245
45582,400
37731,410
44015,266
37052,228
38288,165
50772,95
33877,80
35684,80
51289,135
51553,79
38034,104
46818,109
45932,83
41336,82
41854,94
35485,81
50566,129
47958,98
Numero de fallos: 0,
