Tasks: 80,
Gap: 100,
Threads: 2,
Verificacion ns,Consulta ms
93476,95
50870,97
50264,265
56204,82
36570,90
35941,285
46739,352
28130,167
37337,87
39428,103
45378,90
43160,140
34224,242
35166,119
46142,83
33619,95
53459,82
45223,83
51574,93
39506,362
37130,454
37758,84
35685,82
31626,93
30896,340
48840,79
37086,170
34667,81
51524,91
41660,90
52302,80
51415,115
53193,80
33446,112
68778,196
37599,87
47378,81
29210,195
44597,328
46366,192
47475,80
32789,83
47648,96
62342,84
37086,118
42547,173
46849,82
39052,86
38941,82
32017,98
47050,83
46417,80
39090,80
33239,83
43584,81
63754,83
64332,82
36621,98
42599,83
44203,126
34691,82
58009,82
46461,83
35349,88
49785,82
54204,80
32816,85
49114,85
49540,104
49066,85
41185,83
50410,92
46423,81
49295,81
45054,80
39120,80
34515,140
35660,80
36953,213
33972,128
Numero de fallos: 0,
