Tasks: 200
Gap: 40
Threads: 1
Verificacion ns,Consulta ms
953950,88
975390,111
881123,92
782570,873
509223,1218
504574,1211
633180,1144
820554,763
855852,797
895309,91
453769,1488
817308,885
859672,347
978753,1256
475369,1661
748311,904
917703,962
927764,1585
717890,1942
615738,1727
651305,1587
3778469,1179
853331,101
847574,1695
899524,1794
889639,1701
1067439,1821
534532,258
855253,152
893043,257
549710,767
600115,2170
895023,1440
550823,1354
753181,853
863722,1522
522452,897
698121,440
636073,1285
651785,920
556485,2164
509159,1903
1206295,1267
1040742,1825
564334,2135
576665,1916
651711,1996
522383,1675
651007,2048
714711,1480
621698,1259
535583,1810
488250,1747
699289,2386
656369,2270
489329,1830
506857,2314
662403,797
854579,351
729047,2119
509565,217
567420,1568
674765,2239
588648,1403
570223,2057
553000,225
15234288,2254
474037,1409
597058,1280
731609,2423
586193,1719
653229,1799
476762,1743
561375,2695
934656,1295
884798,1475
635899,2053
535845,2205
832909,1929
3992086,2096
553287,392
950686,2068
879137,2243
887684,2512
549278,2514
556500,2664
537501,1993
695680,2120
573564,994
522607,2561
568586,2725
10928133,2357
487916,1887
656628,1158
952471,475
989820,2405
905207,2553
614451,1829
608663,2035
563082,2459
873558,2711
792305,2629
980912,2149
954336,482
531330,1790
687310,1896
698898,1717
626925,2657
569656,1063
3992302,2178
532311,1724
820388,1815
976763,2721
967349,2534
527795,2788
684089,108
599457,1070
706062,2561
579754,3245
842453,2919
796376,1810
634409,2986
617283,3202
472577,537
538195,1082
743564,3154
3152907,2479
499248,3207
657944,1175
701597,1230
495466,2224
702553,1943
510114,1420
876912,2594
1051330,79
626328,3911
895440,5196
920913,4543
943317,4128
984841,5199
916897,5187
961200,5777
1181223,4782
966281,4513
1104953,4356
1103971,5007
1057744,4295
914042,5452
990682,3086
1009176,4883
1047959,5149
1030477,4647
1405415,5594
918596,4719
1052817,3519
941018,4702
878125,2349
1100901,2848
1121062,4755
1150913,4863
1021755,4417
904950,3377
910764,4727
919241,4610
943143,4739
1075901,4826
939894,4499
948598,5066
940021,3840
1087149,5089
977241,5487
946367,5094
986322,4848
728415,5481
704716,5243
781338,5407
895385,4459
784221,4744
1114158,3956
962307,4783
927790,5028
1202476,4846
1049612,5223
930449,4635
1029790,5429
979046,5557
664514,5307
711663,4544
1089979,5279
948581,4643
970542,5100
953556,4947
918769,5120
955133,5141
980522,5422
836118,5360
652305,5378
962250,5553
891169,5640
1014601,5326
Numero de fallos: 0
