Tasks: 80
Gap: 100
Threads: 2
Verificacion ns,Consulta ms
12661657,116
6510759,102
5453183,238
5510421,557
5378936,97
5333405,523
5592040,314
5415910,595
5478713,84
14208699,92
32073393,324
4722304,364
5133414,94
4537471,167
4666020,149
4723359,150
4472831,352
4422017,252
4618105,285
4355984,143
4319489,252
4517742,88
4820073,270
4327278,177
4290622,185
4322066,97
4583999,85
4459864,103
4398168,86
4836062,81
4206225,133
4374240,133
4440790,85
4470403,82
4636502,84
4158982,83
4337424,82
4993383,83
4407027,84
4473189,96
4810282,82
4335184,84
4409622,84
8135450,98
4397329,100
4301383,85
4280910,84
4341554,142
4524768,84
4462217,82
4758124,85
5761299,116
4732046,84
4733639,84
4253149,154
4272703,92
4844363,82
4834843,84
4534639,81
4254483,84
4748987,85
4570852,81
4575091,84
4419007,82
4510366,84
4355841,82
4426087,84
4469957,88
4992737,82
4230976,88
4817673,84
4306778,102
4292712,92
4449387,85
4633061,85
4393818,83
4534310,148
4480635,85
4355784,82
4229138,84
Numero de fallos: 0
